Unnamed: 0,№,Title,Artist(s),lyrics,genres
39,40,"""Conga""",Miami Sound Machine,"25 ContributorsConga Lyrics“Conga” is the first hit single released by the American band Miami Sound Machine led by Gloria Estefan on their second English language album, and ninth overall, Primitive Love.
Come on, shake your body, baby, do the Conga
I know you can't control yourself any longer
Come on, shake your body, baby, do the Conga
I know you can't control yourself any longer

Come on, shake your body, baby, do the Conga
I know you can't control yourself any longer
Feel the rhythm of the music getting stronger
Don't you fight it 'til you tried it, do that Conga beat

Everybody gather 'round now
Let your body feel the heat
Don't you worry if you can't dance
Let the music move your feet
It's the rhythm of the island
Like the sugar cane so sweet
If you want to do the conga
You've got to listen to the beat

Come on, shake your body, baby, do the Conga
I know you can't control yourself any longer
Feel the rhythm of the music getting stronger
Don't you fight it 'til you tried it, do that Conga beat

Feel the fire of desire
As you dance the night away
'Cause tonight we're gonna party
'Til we see the break of day
Better get yourself together
And hold on to what you've got
Once the music hits your system
There's no way you're gonna stop

Come on, shake your body, baby, do the Conga
I know you can't control yourself any longer
Feel the rhythm of the music getting stronger
Don't you fight it 'til you tried it, do that Conga beat

Come on, shake your body, baby, do the Conga
I know you can't control yourself any longer
Feel the rhythm of the music getting stronger
Don't you fight it 'til you tried it, do that Conga beat

Come on, shake your body, baby, do the Conga
I know you can't control yourself any longer
Feel the rhythm of the music getting stronger
Don't you fight it 'til you tried it, do that Conga beat

Come on, shake your body, baby, do the Conga","pop, 80s, dance, latin, female vocalists"
40,41,"""True Colors""",Cyndi Lauper,"38 ContributorsTranslationsDeutschTrue Colors LyricsBeing one of the few songs on the album not written by Lauper, “True Colors” is still a signature song for the American singer. Lauper came up with “a very, very creative departure from” what songwriters… Read More 
You with the sad eyes
Don't be discouraged
Oh, I realize
It's hard to take courage
In a world full of people
You can lose sight of it all
And the darkness inside you
Can make you feel so small

But I see your true colors
Shining through
I see your true colors
And that's why I love you
So don't be afraid to let them show
Your true colors
True colors
Are beautiful like a rainbow

Show me a smile then
Don't be unhappy
Can't remember when
I last saw you laughing
If this world makes you crazy
And you've taken all you can bear
You call me up
Because you know I'll be there

And I'll see your true colors
Shining through
I see your true colors
And that's why I love you
So don't be afraid to let them show
Your true colors
Your true colors
Are beautiful like a rainbow

Can't remember when I last saw you laugh

If this world makes you crazy
You've taken all you can bear
You call me up
Because you know I'll be there

And I'll see your true colors
Shining through
I see your true colors
And that's why I love you
So don't be afraid to let them show
Your true colors
True colors
True colors are shining through
I see your true colors
And that's why I love you
So don't be afraid to let them show
Your true colors
True colors
Are beautiful like a rainbow","pop, 80s, female vocalists, new wave, rock"
41,42,"""Danger Zone""",Kenny Loggins,"57 ContributorsTranslationsDeutschDanger Zone LyricsThis song challenges the cultural couch potato mentality pervasive at the time (and to this day) that, in the name of safety, holds back countless millions of people from unlocking their potential and… Read More 
Revvin' up your engine
Listen to her howlin' roar
Metal under tension
Beggin' you to touch and go

Highway to the danger zone
Ride into the danger zone

Headin' into twilight
Spreadin' out her wings tonight
She got you jumpin' off the deck
And shovin' into overdrive

Highway to the danger zone
I'll take you right into the danger zone

You'll never say hello to you
Until you get it on the red line overload
You'll never know what you can do
Until you get it up as high as you can go

Oh, yeah

Out along the edges
Always where I burn to be
(The further on the edge) The further on the edge
(The hotter the intensity) The hotter the intensity

Highway to the danger zone
Gonna take it right into the danger zone
Highway to the danger zone
Ride into the danger zone
Highway to the danger zone
Gonna take it right into the danger zone
Highway to the danger zone
Ride into the danger zone

Highway to the danger zone
Gonna take it right into the danger zone
Highway to the danger zone
Ride into the danger zone
Highway to the danger zone
Gonna take it right into the danger zone...","rock, 80s, pop, singer-songwriter, Soundtrack"
42,43,"""What Have You Done For Me Lately""",Janet Jackson,"24 ContributorsWhat Have You Done for Me Lately Lyrics“What Have You Done For Me Lately”, the lead single from Control, is a general tune about dissatisfaction with one’s partner, but it was written, in part, to convey Jackson’s feelings about the recent… Read More 
""What's up, girl?""
""He stood me up again""
""Again?""
""Mmhmm""
""Well, what's up with this guy?
Do you really like him that much?""
""Yes honey, I love him, he is fun
He does a lot of nice things for me""
I know he used to do nice stuff for you
But what has he done for you lately?

Used to be a time when you would pamper me
Used to brag about it all the time
Your friends seem to think that you're so peachy keen
But my friends say neglect is on your mind
Who's right?

What have you done for me lately?
Ooh-ooh-ooh, yeah
What have you done for me lately?
Ooh-ooh-ooh, yeah

Used to go to dinner almost every night
Dancing 'til I thought I'd lose my breath (Ah)
Now it seems your dancing feet are always on my couch
Good thing I cook or else we'd starve to death
Ain't that a shame?

What have you done for me lately?
Ooh-ooh-ooh, yeah
What have you done for me lately?
Ooh-ooh-ooh, yeah

I never ask for more than I deserve
You know it's the truth
You seem to think you're God's gift to this Earth
I'm telling you, no way
You ought to be thankful for the little things
But little things are all you seem to give
You're always putting off what we can do today
Soap opera says, you've got one life to live
Who's right, who's wrong?

What have you done for me lately?
Ooh-ooh-ooh, yeah
What have you done for me lately?
Ooh-ooh-ooh, yeah
What have you done for me lately?
Ooh-ooh-ooh, yeah
What have you done for me lately?
Ooh-ooh-ooh, yeah
Get with it
What have you done for me lately?
Ooh-ooh-ooh, yeah
What have you done for me lately?
Ooh-ooh-ooh, yeah
What have you done for me lately?
Ooh-ooh-ooh, yeah
What have you done for me lately?
Ooh-ooh-ooh, yeah
What have you done for me lately?
Ooh-ooh-ooh, yeah
What have you done for me lately? (This is wild, I swear)","pop, rnb, female vocalists, dance, soul"
43,44,"""No One Is to Blame""",Howard Jones,"21 ContributorsNo One Is to Blame LyricsNo One Is to Blame is a song from Howard Jones‘ album Dream into Action.
The song was re-recorded to give it a more radio-friendly sound & Phil Collins helped produced the song along with adding his drum… Read More 
You can look at the menu, but you just can't eat
You can feel the cushions, but you can't have a seat
You can dip your foot in the pool, but you can't have a swim
You can feel the punishment, but you can't commit the sin

And you want her, and she wants you
We want everyone
And you want her, and she wants you
No one, no one, no one ever is to blame

You can build a mansion, but you just can't live in
You're the fastest runner, but you're not allowed to win
Some break the rules and live to count the cost
The insecurity is the thing that won't get lost

And you want her, and she wants you
We want everyone
And you want her, and she wants you
No one, no one, no one ever is to blame

You can see the summit, but you can't reach it
It's the last piece of the puzzle, but you just can't make it fit
Doctor says you're cured, but you still feel the pain
Aspirations in the clouds, but your hopes go down the drain

And you want her, and she wants you
We want everyone
And you want her, and she wants you (Wants you)
No one, no one, no one ever is to blame
No one ever is to blame
No one ever is to blame","new wave, 80s, pop, synthpop, synth pop"
44,45,"""Let's Go All the Way""",Sly Fox,"15 ContributorsLet’s Go All the Way Lyrics
Sitting with the thinker
Trying to work it out
It's a traffic jam of the brain
Makes you wanna scream and shout
Presidential party
No one wants to dance
Looking for a new star
To put you in a trance

Let's go all the way
Let's go all the way
Yeah, yeah, yeah, yeah, yeah
Let's go all the way

Workin' in a factory
Eight days a week
Try to make dollar
Damn, what a beat
Cartoon capers
Happen in reality
Rich man, poor man
Livin' in fantasy

Let's go all the way
Let's go all the way
Oh-oh-oh
Let's go all the way
Wow

Yeah, yeah, yeah

Livin' in New York
Looks like an apple core (Apple core)
Asphalt jungle
Got to be a man of war
California dreamers
Sinking in the sand
The Hollywood squares are
Livin' in Disneyland

Weeee! Ha!

Let's go all the way
(Let's go all the way)
Let's go all the way
(Let's go all the way)
Aah-aah-aah
Let's go all the way
Let's go all the way

Let's go all the way
We need heaven on Earth today
Aah-aah-aah
We can make a better way
Let's go all the way
Go all the way
Let's go all the way
Yeah

Na, na, na-na-na
Na, na-na-na-na-na-na
Na, na, na-na-na, yeah
Na, na, na-na-na
Na, na-na-na-na-na-na
Na, na, na-na-na, yeah
Na, na, na-na-na
Na, na-na-na-na-na-na
Na, na, na-na-na, yeah
Na, na, na-na-na
Na, na-na-na-na-na-na
Na, na, na-na-na, yeah","pop, 80s, new wave, dance, USA"
45,46,"""I Didn't Mean to Turn You On""",Robert Palmer,"12 ContributorsI Didn’t Mean to Turn You On Lyrics“I Didn’t Mean To Turn You On” is a cover of Cherrelle’s 1984 song written by Jimmy Jam and Terry Lewis. Palmer’s version outperformed the original, peaking at #2 on the Billboard Hot 100 in late 1986. It was… Read More 
When I took you out
I knew what you were all about
But when I did
I didn't mean to turn you on
Now I bring you home
You tell me good night's not enough for you
I'm sorry, baby
I didn't mean to turn you on
Oh, I didn't mean to turn you on

You read me wrong
I wasn't trying to lead you on
Not like you think
I didn't mean to turn you on

I know you
Expected a one-night stand
When I refused, I knew you wouldn't understand
I'm sorry, baby
I didn't mean to turn you on
I told you twice
I was only trying to be nice
Only trying to be nice
Oh, I didn't mean to turn you on

Hey, now why should I
Feel guilty 'cause I won't give
Guilty 'cause I won't give in
I didn't mean to turn you on
Oh, I didn't mean to turn you on

When I took you out
I knew what you were all about
But when I did
I didn't mean to turn you on
Oh, I didn't mean to turn you on

I didn't mean to turn you on
I didn't mean to turn you on
I didn't mean to turn you on
I didn't mean to turn you on
I didn't mean to turn you on
I didn't mean to turn you on
I didn't mean to turn you on
I didn't mean to turn you on
No, I, I, I didn't mean to turn you on","rock, 80s, classic rock, pop, british"
46,47,"""Words Get in the Way""",Miami Sound Machine,"6 ContributorsWords Get In the Way Lyrics“Words Get In the Way” peaked at #5 on the Billboard Hot 100 and topped Billboard’s Adult Contemporary chart for 2 weeks.
I realize you're seeing someone new
I don't believe she knows you like I do
Your temperamental moody side
The one you always try to hide from me
But I know when you have something on your mind
You've been trying to tell me for the longest time
And before you break my heart in two
There's something I've been trying to say to you

But the words get in the way
There's so much I want to say
But it's locked deep inside
And if you look in my eyes
We might fall in love again
I won't even start to cry
And before we say goodbye
I tried to say, ""I love you""
But the words got in the way

Your heart has always been an open door
But baby, I don't even know you anymore
And despite the fact it's hurting me
I know the time has come to set you free

But the words get in the way
There's so much I want to say
But it's locked deep inside
And if you look in my eyes
We might fall in love again
I won't even start to cry
And before we say goodbye
I tried to say, ""I love you""
But the words got in the way

I'm trying to say, ""I love you""
But the words get in the way","pop, 80s, dance, latin, female vocalists"
47,48,"""Manic Monday""",The Bangles,"48 ContributorsManic Monday LyricsAfter Prince became a fan of The Bangles song “Hero Takes A Fall”, he offered the group two songs to record – “Jealous Girl” or “Manic Monday”. They chose “Manic Monday” and released it as the lead single of… Read More 
Six o'clock already, I was just in the middle of a dream
I was kissin' Valentino by a crystal blue Italian stream
But I can't be late, 'cause then I guess I just won't get paid
These are the days when you wish your bed was already made

It's just another manic Monday (Ooh-oh)
Wish it were Sunday (Ooh-oh)
'Cause that's my fun day (Ooh-oh)
My I-don't-have-to-run day (Ooh)
It's just another manic Monday

Have to catch an early train, got to be to work by nine
And if I had an aeroplane, I still couldn't make it on time
'Cause it takes me so long just to figure out what I'm gonna wear
Blame it on the train, but the boss is already there

It's just another manic Monday (Ooh-oh)
Wish it were Sunday (Ooh-oh)
'Cause that's my fun day (Ooh-oh)
My I-don't-have-to-run day (Ooh)
It's just another manic Monday

Of all of my nights, why did my lover have to pick
Last night to get down? (Last night, last night)
Doesn't it matter that I have to feed the both of us?
Employment's down
He tells me in his bedroom voice
""C'mon, honey, let's go make some noise"" (I can't resist)
Time, it goes so fast (When you're having fun)

It's just another manic Monday (Ooh-oh)
Wish it were Sunday (Ooh-oh)
'Cause that's my fun day (Ooh-oh)
My I-don't-have-to-run day (Ooh)
It's just another manic Monday (Ooh-oh)
Wish it were Sunday (Ooh-oh)
'Cause that's my fun day (Ooh-oh)
It's just another manic Monday","pop, 80s, female vocalists, new wave, rock"
48,49,"""Walk of Life""",Dire Straits,"49 ContributorsWalk of Life LyricsOddly, this track was originally available as a B-Side to the single “So Far Away,” which was released as the lead single to their fifth album Brothers In Arms. The song received a video in which the band… Read More 
Woo-hoo
Woo-hoo

Here come Johnny singing oldies, goldies
""Be-Bop-A-Lula,"" baby, ""What'd I Say""
Here come Johnny singing ""I Got a Woman""
Down in the tunnels, tryna make it pay

He got the action, he got the motion
Oh, yeah, the boy can play
Dedication, devotion
He turnin' all the night-time into the day

He do the song about the sweet loving woman
He do the song about the knife
Then he do the walk, do the walk of life
Yeah, he do the walk of life
Woo-hoo

Here come Johnny gonna tell you the story
Hand me down, my walking shoes
Here come Johnny with the power and the glory
Backbeat, the talking blues

He got the action, he got the motion
Oh, yeah, the boy can play
Dedication, devotion
He turning all the night-time into the day

He do the song about the sweet loving woman
He do the song about the knife
And he do the walk, he do the walk of life
Yeah, he do the walk of life
Woo-hoo-hoo

Here come Johnny singing oldies, goldies
""Be-Bop-A-Lula,""  baby, ""What'd I Say""
Here come Johnny singing ""I Got a Woman""
Down in the tunnels, tryna make it pay

He got the action, he got the motion
Oh, yeah, the boy can play
The dedication, devotion
He turning all the night-time into the day

And after all the violence and double-talk
There's just a song in all the trouble and the strife
You do the walk, yeah, you do the walk of life
Mmm, they do the walk of life

Woo-hoo
Woo-hoo-hoo
Woo-hoo-hoo
Woo-hoo
Woo-hoo-hoo
Yeah, he do the walk of life","classic rock, rock, 80s, blues, guitar"
49,50,"""Amanda""",Boston,"17 ContributorsAmanda Lyrics“Amanda” topped the Billboard Hot 100 for 2 weeks in November 1986 and also topped the charts in Canada for a week in December of that same year, making it Boston’s biggest hit in both the U.S. and Canada.
Babe, tomorrow's so far away
There's something I just have to say
I don't think I can hide what I'm feelin' inside
Another day, knowin' I love you
And I, I'm getting too close again
I don't want to see it end
If I tell you tonight would you turn out the light
And walk away knowing I love you?

I'm going to take you by surprise and make you realize
Amanda
I'm going to tell you right away, I can't wait another day
Amanda
I'm going to say it like a man and make you understand
Amanda
I love you

And I feel like today's the day
I'm lookin' for the words to say
Do you wanna be free, are you ready for me
To feel this way
I don't wanna lose you
So, it may be too soon, I know
The feeling takes so long to grow
If I tell you today will you turn me away
And let me go?
I don't want to lose you


I'm going to take you by surprise and make you realize
Amanda
I'm going to tell you right away, I can't wait another day
Amanda
I'm going to say it like a man and make you understand
Amanda
Oh girl

You and I
I know that we can't wait
And I swear, I swear it's not a lie, girl
Tomorrow may be too late
You, you and I, girl
We can share a life together
It's now or never
And tomorrow may be too late

And, feeling the way I do
I don't wanna wait my whole life through
To say I'm in love with you","classic rock, rock, hard rock, Progressive rock, 80s"
50,51,"""Two of Hearts""",Stacey Q,"21 ContributorsTwo of Hearts Lyrics“Two of Hearts” became Stacey Q.’s biggest hit to date, peaking at #3 on the Billboard Hot 100, topping Billboard’s Hot Dance Music\Maxi-Singles Sales chart, peaked at #4 on Billboard’s Hot Dance Music\Club… Read More 
I-I-I-I-I-I need, I need you
I-I-I-I-I-I need, I need you
I-I-I-I-I-I need, I need you

I never said I wasn't gonna tell nobody
No, baby
But this good lovin', I can't keep it to myself
Oh, no
When we're together, it's like hot coals in a fire
Hot, baby
My body's burning, so come on, heed my desire
Come on, come on

Two of hearts
Two hearts that beat as one
Two of hearts
I need you, I need you
Two of hearts
Two hearts that beat as one
Two of hearts (Two hearts)
Come on, come on

People get jealous 'cause we always stay together
Yeah, baby
I guess they really want a love like yours and mine
Together, forever
I never thought that I could ever be this happy
Yeah, baby
My prayers were answered, boy, you came in the nick of time
Whoa, whoa, whoa

I got this feeling that you're going to stay
I never knew that it could happen this way
Before I met you I was falling apart
But now, at last, I really know that we are

Two of hearts
Two hearts that beat as one
Two of hearts
I need you, I need you
Two of hearts
Two hearts that beat as one
Two of hearts (Two hearts)
Come on, come on

I-I-I-I-I-I need, I need you
I-I-I-I-I need
I-I-I-I-I-I need
I need, I need, I need you

I never said I wasn't gonna tell nobody
No, baby
But this good lovin', I can't keep it to myself
Oh, no
When we're together it's like hot coals in a fire
Hot, baby
My body's burning, so come on, heed my desire
Whoa, whoa, whoa

I got this feeling that you're going to stay
I never knew that it could happen this way
Before I met you I was falling apart
But now, at last, I really know that we are

Two of hearts
Two hearts that beat as one
Two of hearts
I need you, I need you
Two of hearts
Two hearts that beat as one
Two of hearts (Two hearts)
Come on, come on
Two of hearts
Two hearts that beat as one
Two of hearts
I need you, I need you
Two of hearts
Two hearts that beat as one
Two of hearts (Two hearts)
Come on, come on
Two of hearts
Two hearts that beat as one
Two of hearts
I need you, I need you
Two of hearts
Two hearts that beat as one
Two of hearts (Two hearts)
Come on, come on
Two of hearts
Two hearts that beat as one
Two of hearts
Two of hearts
Two hearts that beat as one","pop, 80s, dance, female vocalists, american"
51,52,"""Crush on You""",The Jets,"9 ContributorsCrush On You LyricsCrush on You peaked at #3 on the Billboard Hot 100 and #4 on Billboard’s R&B chart.
Music Video
How did you know, 'cause I never told
You found out I've got a crush on you
No more charades, my heart's been displayed
You found out I've got a crush on you

You must have heard it from my best friend
She's always talking when she should be listening
Can't keep a secret to save her life
But still I trusted her with all I felt inside

I never knew a rumor could spread so fast
'Cause now the word is out all over town
That I'm longing for you

How did you know, 'cause I never told
You found out I've got a crush on you
No more charades, my heart's been displayed
You found out I've got a crush on you

Maybe I was the one who left the trace
Was there a message written on my face?
Were my emotions so easily read
That you would know my love before a word was said

Was it my eyes that let you know you had control?
Because the way you move was so self-assured
You knew I would surrender

How did you know, 'cause I never told
You found out I've got a crush on you
No more charades, my heart's been displayed
You found out I've got a crush on you


How did you know, 'cause I never told
You found out I've got a crush on you
No more charades, my heart's been displayed
You found out I've got a crush on you

You found out I've got a crush on you
You found out I've got a crush on you
Crush on you
Crush on you","80s, pop, dance, Disco, rockabilly"
52,53,"""If You Leave""",Orchestral Manoeuvres in the Dark,"22 ContributorsIf You Leave Lyrics“If You Leave” is a song by British synthpop group Orchestral Manoeuvres in the Dark. The track was commissioned by John Hughes to be used in the final scene of his 1986 film Pretty in Pink.
The track… Read More 
If you leave, don't leave now
Please don't take my heart away
Promise me just one more night
Then we'll go our separate ways
We've always had time on our sides
Now it's fading fast
Every second, every moment
We've got to, we've gotta make it last

I touch you once, I touch you twice
I won't let go at any price
I need you now like I need you then
You always said we'd still be friends someday

If you leave, I won't cry
I won't waste one single day
But if you leave, don't look back
I'll be running the other way
Seven years went under the bridge
Like time was standing still
Heaven knows what happens now
You've got to, you've gotta say you will

I'll touch you once, I'll touch you twice
I won't let go at any price
I need you now, like I need you then
You always said we'd meet again


I touch you once, I touch you twice
I won't let go at any price
I need you now, like I need you then
You always said we'd still be friends
I touch you once, I touch you twice
I won't let go at any price
I need you now, like I need you then
You always said we'd meet again someday

(Oh, oh-oh-oh, oh, oh-oh-oh, oh, oh-oh-oh, oh-ho)
If you leave
(Oh, oh-oh-oh, oh, oh-oh-oh, oh, oh-oh-oh, oh-ho)
Oh, if you leave
(Oh, oh-oh-oh, oh, oh-oh-oh, oh, oh-oh-oh, oh-ho)
Oh, if you leave
(Oh, oh-oh-oh, oh, oh-oh-oh, oh, oh-oh-oh, oh-ho)
Don't look back
(Oh, oh-oh-oh, oh, oh-oh-oh, oh, oh-oh-oh, oh-ho)
Don't look back
(Oh, oh-oh-oh, oh, oh-oh-oh, oh, oh-oh-oh, oh-ho)
(Oh, oh-oh-oh, oh, oh-oh-oh, oh, oh-oh-oh, oh-ho)
(Oh, oh-oh-oh, oh, oh-oh-oh, oh, oh-oh-oh, oh-ho)...","new wave, synthpop, 80s, electronic, synth pop"
53,54,"""Invisible Touch""",Genesis,"31 ContributorsInvisible Touch LyricsThe title track and first single of the 1986 Genesis album of the same name with Phil Collins on lead vocals. It is the most successful single in the band’s lengthy history and was their first No. 1 single in… Read More 
Well, I've been waiting
Waiting here so long
But thinking nothing
Nothing could go wrong
Ooh now I know

She has a built-in ability
To take everything she sees
And now it seems I'm falling
Falling for her

She seems to have an invisible touch, yeah
She reaches in and grabs right hold of your heart
She seems to have an invisible touch, yeah
It takes control and slowly tears you apart

Well, I don't really know her
I only know her name
Ooh, but she crawls under your skin
You're never quite the same
And now I know
She's got something you just can't trust
An' it's something mysterious
And now it seems I'm falling
Falling for her

She seems to have an invisible touch, yeah
She reaches in and grabs right hold of your heart
She seems to have an invisible touch, yeah
It takes control and slowly tears you apart


She seems to have an invisible touch, yeah
She reaches in and grabs right hold of your heart
She seems to have an invisible touch, yeah
It takes control and slowly tears you apart

Well, she don't like losing
To her, it's still a game
And though she will mess up your life
You'll want her just the same
And now I know

She has a built-in ability
To take everything she sees
And now it seems I've fallen
Fallen for her

She seems to have an invisible touch, yeah
She reaches in and grabs right hold of your heart
She seems to have an invisible touch, yeah
It takes control and slowly tears you apart

She seems to have an invisible touch, yeah
(She seems to have an invisible touch)
She seems to have an invisible touch, oh-oh-oh
(She seems to have an invisible touch)
She seems to have an invisible touch, yeah
(She seems to have an invisible touch)
She seems to have an invisible touch, oh-oh-oh
(She seems to have an invisible touch)
She seems to have an invisible touch, yeah
(She seems to have an invisible touch)
She seems to have an invisible touch, oh-oh-oh
(She seems to have an invisible touch)
She seems to have an invisible touch, yeah
(She seems to have an invisible touch)
She seems to have an invisible touch, oh-oh-oh
(She seems to have an invisible touch)","Progressive rock, classic rock, rock, 80s, Progressive"
54,55,"""The Sweetest Taboo""",Sade,"43 ContributorsTranslationsDeutschThe Sweetest Taboo LyricsThe “Sweetest Taboo” is the height of sexual pleasure, and Sade sings lovingly about a man who gets her there in this song. The line “There’s a quiet storm” is a reference to the Quiet Storm radio format… Read More 
If I tell you, if I tell you now
Will you keep on, will you keep on loving me?
If I tell you, if I tell you how I feel
Will you keep bringing out the best in me?

You give me, you give me the sweetest taboo
You give me, you're giving me the sweetest taboo
Too good for me

There's a quiet storm and it never felt like this before
There's a quiet storm that is you
There's a quiet storm and it never felt this hot before
Giving me something that's taboo
(Sometimes I think you're just too good for me)

You give me the sweetest taboo
That's why I'm in love with you (with you)
You give me the sweetest taboo
Too good for me
(Sometimes I think you're just too good for me)

I'd do anything for you, I'd stand out in the rain
Anything you want me to do, don't let it slip away
There's a quiet storm and it never felt like this before
There's a quiet storm, I think it's you
There's a quiet storm and I never felt this hot before
Giving me something that's taboo

You give me the (you give me, you give me the) sweetest taboo
That's why I'm in love with you (with you)
You give me, keep giving me the sweetest taboo
Too good for me

You've got the biggest heart
Sometimes I think you're just too good for me
Every day is Christmas, and every night is New Year's Eve
Will you keep on loving me
Will you keep on, will you keep on
Bringing out the best in me","soul, jazz, female vocalists, chillout, pop"
55,56,"""What You Need""",INXS,"11 ContributorsWhat You Need Lyrics“What You Need” is a song recorded by the Australian band INXS from their album Listen Like Thieves. “What You Need” was the first single off the album in Australia and New Zealand, while it was in USA and… Read More 
Hey, here is the story
Forget about the troubles in life
Don't you know, it's not easy
When you gotta walk upon that line

That's why
You need
Oooo, that's why
This is what you need
I'll give you what you need

Oooohh
Don't you get sad and lonely
You need a change from
What you do all day
Ain't no sense in all your crying
Pick it up and throw it into shape
Ooo yeah

That's why
You need
Oooo, that's why
This is what you need
I'll give you what you need

This is what you need
I'll give you what you need
This is what you need
Give you what you need
I’ll give you what you need
Oooh, yeah
Three-four

Hey you, won't you listen?
This is not the end of it all
Don't you see there is a rhythm?
I'll take you where you
Really need to be
Oooohh
Oooo
Oooohh, ooh
Hey, what you need
What you need, give it up, give it all, give it all
Yeah, I’ll take you
I’ll take you where you wanna be
Yeah, take you","rock, new wave, 80s, australian, pop"
56,57,"""Talk to Me""",Stevie Nicks,"11 ContributorsTalk to Me Lyrics
I can see we're thinkin' 'bout the same things
Yes, I see your expression when the phone rings
We both know there's something happening here
There's no sense in dancing 'round the subject
A wound gets worse when it's treated with neglect
Well, don't turn now there's nothing here to fear

You can talk to me
Talk to me
You can talk to me
You can set your secrets free, baby

Dusty words lying under carpets
Seldom heard, well, must you keep your secrets
Locked inside
Hidden deep from view
Is it all that hard?
Is it all that tough?
Well, I've shown you all my cards
Well, isn't that enough?
You can hide your hurt
But there's something you can do

You can talk to me
You can talk to me
When you're down now
You can talk to me
T-t-talk to me

Though we lay face to face
And cheek to cheek
Our voices stray
From the common ground
Where they could meet
The walls run high
To veil a swelling tear
(Tear, tear, tear)
Well, let the walls burn down
Set your secret free
You can break their bounds
'Cause you're safe with me
You can lose your doubt
'Cause you'll find no danger here

You can talk to me
Talk to me
When you're down now
You can talk to me
You can set your secrets free, baby

Well, I can see
That expression when the phone rings
And I can see
That we're thinkin' 'bout the same things
Is it all that hard?
Is it all that tough?
Well, now you've taken all my dreams
Isn't that enough?

Well, I can see you, baby
Well, I can see you, baby
Talk to me, yeah
Well, I can see
That expression when the phone rings","female vocalists, classic rock, rock, singer-songwriter, 80s"
57,58,"""Nasty""",Janet Jackson,"27 ContributorsNasty Lyrics“Nasty” is the third single released from Control and was created in response to street harassment that she encountered from some “nasty boys”. The song is a funky dance track with some hard-hitting drums and… Read More 
Gimme a beat

Sittin' in the movie show, thinkin' nasty thoughts, ha
Better be a gentleman or you'll turn me off
That's right, let me tell it

Nasty, nasty boys don't mean a thing (Huh)
Oh, you nasty boys
Nasty, nasty boys don't ever change (Huh)
Oh, you nasty boys

I don't like no nasty car, I don't like nasty food
Ooh, ooh yeah
The only nasty thing I like is a nasty groove (Ha)
Will this one do? Uh-huh, I know, sing

Nasty, nasty boys don't mean a thing (Huh)
Oh, you nasty boys
Nasty, nasty boys don't ever change (Huh)
Oh, you nasty boys
Nasty, nasty boys, give me a nasty groove (Huh)
Oh, you nasty boys
Nasty, nasty boys, let me see your nasty body move (Huh)
Oh, you nasty boys

I could learn to like this
Listen up

I'm not a prude (No)
I just want some respect (That's right)
So close the door if you want me to respond (Ooh, ooh yeah)
'Cause privacy is my middle name
My last name is control
No, my first name ain't baby
It's Janet, Miss Jackson if you're nasty

Nasty, nasty boys don't mean a thing
Oh, you nasty boys
Nasty, nasty boys don't ever change (Huh)
Oh, you nasty boys
Nasty boys don't mean a thing
Oh, you nasty boys don't mean a thing to me (Uh)
Nasty, don't mean a thing (Uh)
Oh, you nasty boys (Uh)

I love this part

Hey, who's that thinkin' nasty thoughts? (Nasty boys)
Who's that in that nasty car? (Nasty boys)
Who's that eatin' that nasty food? (Nasty boys)
Who's jammin' to my nasty groove? (Nasty boys)
Ladies?

Nasty boys don't mean a thing
Oh, you nasty boys","pop, rnb, female vocalists, dance, soul"
58,59,"""Take Me Home Tonight""",Eddie Money,"39 ContributorsTake Me Home Tonight Lyrics“Take Me Home Tonight” is the first track on Eddie Money’s Can’t Hold Back album. The song is his biggest hit of all-time, reaching number 4 on the U.S. Bilboard Hot 100 chart and number 1 on the U.S.… Read More 
Oh, yeah

I feel a hunger, it's a hunger
That tries to keep a man awake at night
Are you the answer? I shouldn't wonder
When I feel you whet my appetite
With all the power you're releasing
It isn't safe to walk the city streets alone
Anticipation is running through me
Let's find a key and turn this engine on

I can feel you breathe
I can feel your heart beat faster (Faster)

Take me home tonight
I don't want to let you go 'til you see the light
Take me home tonight
Listen, honey, just like Ronnie sang
Be my little baby, oh, ho, oh

I get frightened in all this darkness
I get nightmares; I hate to sleep alone
I need some company, a guardian angel
To keep me warm when the cold winds blow

I can feel you breathe
I can feel your heart beat faster (Faster)

Take me home tonight
I don't want to let you go 'til you see the light
Take me home tonight
Listen, honey, just like Ronnie sang
Be my little baby
Be my little baby, uh-huh

Just like Ronnie sang
I said
Just like Ronnie sang
Be my little baby
Baby, my darlin', uh, oh, oh, oh, oh

I feel a hunger
It's a hunger

Take me home tonight
I don't want to let you go 'til you see the light (Uh, oh, oh, oh, oh)
Take me home tonight
Listen, honey, just like Ronnie sang (Uh, oh, oh, oh, oh)
Be my little baby

Take me home tonight
I don't want to let you go 'til you see the light
Take me home tonight
Listen, honey, just like Ronnie sang (Uh, oh, oh, oh, oh)
Be my little baby
Take me home tonight (Oh, be my darling)
I don't want to let you go 'til you see the light (Uh, oh, oh, oh)
Take me home tonight
Listen, honey, just like Ronnie sang (Uh, oh, oh, oh, oh)
Be my little baby
Take me home tonight
I don't want to let you go 'til you see the light (No, no, no-no)
Take me home tonight
Listen, honey, just like Ronnie sang…","classic rock, rock, 80s, pop rock, pop"
