Unnamed: 0,№,Title,Artist(s),lyrics,genres
24,25,"""This Kiss""",Faith Hill,"19 ContributorsThis Kiss Lyrics
I don't want another heartbreak
I don't need another turn to cry, no
I don't wanna learn the hard way
Baby, hello
Oh no, goodbye
But you got me like a rocket
Shootin' straight across the sky

It's the way you love me
It's a feeling like this
It's centrifugal motion
It's perpetual bliss
It's that pivotal moment
It's, ah, impossible
This kiss, this kiss
Unstoppable
This kiss, this kiss

Cinderella said to Snow White
""How does love get so off course?
Oh, all I wanted was a white knight
With a good heart
Soft touch, fast horse""
Ride me off into the sunset
Baby, I'm forever yours

It's the way you love me
It's a feeling like this
It's centrifugal motion
It's perpetual bliss
It's that pivotal moment
It's, ah, unthinkable
This kiss, this kiss
Unsinkable
This kiss, this kiss

You can kiss me in the moonlight
On the rooftop under the sky, oh
You can kiss me with the windows open
While the rain comes pouring inside, oh
Kiss me in sweet slow motion
Let's let everything slide
You've got me floating
You got me flyin'

It's the way you love me (The way)
It's a feeling like this
It's centrifugal motion (Ah)
It's perpetual bliss
It's that pivotal moment
It's, ah, subliminal
This kiss, this kiss
It's criminal
This kiss, this kiss
It's the way you love me, baby (The way you love me, baby)
It's the way you love me, darling, yeah
It's the way you love me (The way)
It's a feeling like this
It's centrifugal motion (Ah)
It's perpetual bliss
It's that pivotal moment
It's, ah, subliminal
This kiss, this kiss
It's criminal
This kiss, this kiss
It's the way you love me, baby (The way you love me, baby)
It's the way you love me darling, yeah

It's the way you love me (The way)
It's a feeling like this
It's centrifugal motion","country, female vocalists, pop, Faith Hill, rock"
25,26,"""I Don't Ever Want to See You Again""",Uncle Sam,"5 ContributorsI Don’t Ever Want to See You Again Lyrics
Early one mornin'
While you were asleep
I received a letter
But there was no addressee
So I paid it no mind, in fact
I wanted to send it back
But something that I was feeling
Said open it
It said, ""Dear reader
Once close friend of mine
Hope that this letter finds you in time
Cause your love is endin'
And my life's just beginnin'
With a woman that I know you hold dear to you""
And it made me wanna say

I don't ever wanna see you again (I don't, I don't)
But I stuck by you till the end
And my conscience is clear
And I can move on from here
But I wish I could say the same for you, baby
I don't ever wanna see you again, (No, yeah)
But tell me why did it have to be my best friend? (Why?)
That you were messin' around with
I didn't want to notice it
I was true to my love for you

It took me a minute to wake up and see
What the love of my life was doin' to me
I wanted to lay down and die
Cause my pride wouldn't let me cry
But somehow I knew I had to get over it
He said he couldn't understand
Until he felt your touch
Now he can see why I love you so much
And that's so unfair
I never thought I'd have to share
Your love that I thought was given
To only me and that's why

I don't ever wanna see you again (I don't wanna see)
But I stuck by you till the end
And my conscience is clear
And I can move on from here
But I wish I could say the same for you, baby
And I don't ever wanna see you again
But tell me why did it have to be my best friend?
(You could've picked anybody)
That you were messin' around with (Oh)
I didn't want to notice it (Yeah)
I was true to my love for you
(I was true to my love for you)

And you say you love me?
(And you said you love me baby)
Love must've been blind
Cause I sure didn't see this one comin'
(I once was blind but now I see)
My best friend, huh?
They say keep the one's you love close
(Why'd you have to be so low down?)
And your enemy's even closer
But I can't win for losin', girl
(You were the closest thing to me baby)
Cause the one I thought was a friend to me
Ended up being my true enemy
(Knowin' all of the pain you caused me)
Listen to me, baby
I gave you everything
My love and my ring
And you violated me
And I don't wanna see you again

I don't ever wanna see you again
But I stuck by you till the end (Yeah, yeah)
And my conscience is clear (so clear)
And I can move on from here (move on from here)
But I wish I could say the same for you, baby (I'm gonna say a prayer for you baby)
I don't ever wanna see you again (I don't wanna see you no more)
But tell me why did it have to be my best friend? (Yeah)
That you were messin' around with
I didn't want to notice it (I didn't want to notice it)
I was true to my love for you

I don't ever wanna see you again
(Never would be too soon)
But I stuck by you till the end
(I'd rather have a cold day in June)
And my conscience is clear
(So clear)
And I can move on from here
But I wish I could say the same for you, baby
(I need you right now, but...)
I don't ever wanna see you again
(I don't ever wanna see you. You know I don't really need you)
But tell me why did it have to be my best friend?
(You walked around, let me down, feels so good you're not around)
That you were messin' around with
Didn't want to notice it...","dubstep, dub, reggae, soul, rnb"
26,27,"""Let's Ride""",Montell Jordan featuring Master P and Silkk the Shocker,"1 ContributorLet’s Ride (feat. Master P & Silkk ”The Shocker”) (radio edit) Lyrics(Master P)
Uhhhhhh
You like that, huh?
Remember me?
Let's get roudy
Let's ride
Yeah, yeah
Yo, Montell when you walk
They be goin' to the lobby ya'll
Tell the bellman I need some more towels up here
When you see shorty?
The one that's sittin on them 20's?
Tell him in 504 she's still bobbin', you heard?
Let's get roudy
(Montell)
You know Montell's bout it bout it
Master P's bout it bout it
Stepped in the club
After my show
You know the spot
Where everybody's on the low low
That's when I saw her
She saw me
She told me she like Master P
And Montell occassionsly
So I laid back
Put a $50 in my mouth
Said I wanna see you shake it girl
Cuz that's what that bout it bout it bout all tha niggas in tha is in the club
Was jealous of me
Cuz I waited for it and I stayed for
And I'm damn near 'bout to pay for it
So

1 - Let's ride
All night
I don't doubt it
Your love is bout it bout it
And I'm so excited
Girl, I wanna ride it
Let's Ride
Tonight
Can't do without it
Your love is bout it bout it
And I want tonight, babe
Girl I wanna ride it
Now baby what's more than incredible
She did her thing
5'5"" 146, wearin nothing but a g-string
Her chocolate lips and
Sexy thighs
Sittin' properly up on top of me
She's riding, ain't no stopping me now
She bounced back
Then rocked slow
Like she's auditioning to kick it in my video
There ain't no limit
To what she'd do
I'm listening, she's whispering
Her girl wanna ride me too

Repeat 1
She's moving up and down
And round and round tonight
Moving up and down
And around and around
She's moving up and down
And round and round, let's ride
Oh baby ain't nothing like the real thing
(Master P)
See us soldiers do it wild
I could make you smile
Make my nine go pow
Put on your boots let's run some miles
Camoflauge on them sheets
Make that head board squeak
Up and down 'till you reak
Cuz a thug like a freak
Sixty eight will be my code
If you bout it girl, let's roll
I told you was no limit
Cuz tonight anything goes
(SilKK)
Anything goes, let's roll
Lemme help you take up off your clothes
Give me a preview before
And the rest after the show
Thug love mixed with cream
Hennessey, strawberries, and Moet
Champagne, mo' in the bath havin' a hot tub
Wipe our feet off on a Oriental Rug
Can't get enough
You on top of me
Me on top of you
Do what you want to this thug
Girl ain't no stopping you

Repeat 1
Coming to breakfast
Go tomorrow
Yeah, I'm coming wit you
Me and Silkk, fool
Told ya'll there wasn't no limit
UHHHH",
27,28,"""Sex and Candy""",Marcy Playground,"41 ContributorsSex and Candy Lyrics“Sex and Candy” is Marcy Playground’s “breakthrough” hit from their 1997 self-titled debut studio album. The song was written in just one hour.
The song spent 15 weeks atop the US Modern Rock songs chart and… Read More 
Hanging around, downtown by myself
And I had so much time to sit and think about myself
And then there she was, like double cherry pie
Yeah, there she was, like disco super-fly

I smell sex and candy here, mmm
Who's that lounging in my chair? Mmm
Who's that casting devious stares in my direction?
Momma, this surely is a dream, yeah
Yeah, momma, this surely is a dream, dig it

Hanging around, downtown by myself
And I've had too much caffeine, and I was thinking about myself
And then there she was, in platform double suede
Yeah, there she was, like disco lemonade

I smell sex and candy here, mmhmmm
Who's that lounging in my chair? Mhm
Who's that casting devious stares in my direction?
Momma, this surely is a dream, yeah
Yeah, momma, this surely is a dream, dig it
Yeah, momma, this surely is a dream, yeah

I smell sex and candy here, mhm
Who's that lounging in my chair? Mhm
Who's that casting devious stares in my direction?
Momma, this surely is a dream, dig it
Yeah, momma, this surely is a dream, mhm
Yeah, momma, this surely is a dream, yeah
Yeah, momma, this must be my dream","alternative rock, alternative, rock, 90s, indie"
28,29,"""Show Me Love""",Robyn,"11 ContributorsShow Me Love LyricsShow Me Love is a single from Robyn’s album Robyn Is Here
The song peaked at #14 in Sweden and #7 on the Billboard Hot 100 in the United States where it was certified Gold.
Yeah, yeah, yeah

Always been told that I've got too much pride
Too independent to have you by my side
But my heart said all of you will see
Just won't live for someone until he lives for me

Never thought I would find love so sweet
Never thought I would meet someone like you
Well, now I've found you and I'll tell you no lie
This love I've got for you
Could take me 'round the world, now show me love

Show me love, show me life
Baby, show me what it's all about
You're the one that I ever needed
Show me love and what it's all about, alright

Don't waste this love, I wanna give to you
Tell me what you got, show me what you can do
Show me love, show me everything
I know you've got potential
So baby, let me in and show me love

Show me love, show me life (Alright)
Baby, show me what it's all about
You're the one that I ever needed (Show me love)
Show me love and what it's all about, alright
Show me love, oh, show me life (Show me life)
Baby, show me what it's all about (Me what it's all about)
You're the one that I ever needed
Show me love and what it's all about, alright

Show me love, baby
Show me everything you've got and show me life
Show me love, baby
Show me everything and what it's all about
You're the one, the only one I ever needed
Show me love and what it's all about, alright

I love you
I miss you
I'll make sure everything will be alright
I'll give you my heart if you just give me love
Every day and every night

Show me love (Yeah, yeah), show me life (Alright)
Baby, show me what it's all about (Me what it's all about)
You're the one that I ever needed (Show me love)
Show me love and what it's all about, alright (Hey, hey, oh)
Show me love, show me life (Alright)
Baby, show me what it's all about
You're the one that I ever needed
Show me love and what it's all about, alright","pop, electronic, swedish, female vocalists, dance"
29,30,"""A Song for Mama""",Boyz II Men,"23 ContributorsA Song for Mama Lyrics“A Song For Mama” is an ode to mothers everywhere and to everything they do for their children. As Boyz II Men’s last hit of the 90s, it serves as a heartwarming end of a great run.
It was the theme song for… Read More 
You taught me everything
Everything you've given me
I'll always keep it inside
You're the driving force in my life, yeah
There isn't anything
Or anyone that I could be
And it just wouldn't feel right
If I didn't have you by my side
You were there for me to love and care for me
When skies were gray
Whenever I was down
You were always there to comfort me
And no one else can be
What you have been to me you will always be
You will always be the girl
In my life for all times

Mama, Mama you know I love you
Mama, Mama you're the queen of my heart
Your love is like tears from the stars
Mama I just want you to know
Lovin' you is like food to my soul

You're always down for me
Have always been around for me even when I was bad
You showed me right from my wrong
Yes you did
And you took up for me
When everyone was downin' me
You always did understand
You gave me strength to go on
There were so many times
Looking back when I was so afraid
And then you'd come to me and say to me
I can face anything
And no one else can do
What you have done for me
You'll always be, you will always be
The girl in my life, ooh oh

Mama, Mama you know I love you (Ooh, you know I love you)
Mama, Mama you're the queen of my heart
Your love is like tears from the stars
(Your love is like tears from the stars)
Mama I just want you to know
(Mama I just want you to know)
Lovin' you is like food to my soul

Never gonna go a day without you
Fills me up just thinkin' about you
I'll never go a day
Without my mama

Mama, Mama you know I love you
Mama, Mama you're the queen of my heart
Your love is like tears from the stars
(Like tears from the stars)
Mama I just want you to know
Lovin' you is like food to my soul

Oh, oh, ooh
Food to my soul","rnb, soul, 90s, pop, r and b"
30,31,"""What You Want""",Mase featuring Total,"30 ContributorsTranslationsDeutschWhat You Want Lyrics
Tell me what you want
Tell me what you want
Just tell me what you want
Tell me what you want
Tell me what you want
Tell me what you want

Tell me what you want for me
Take a look at what you see
Let me know if this right here
Is something you can have for years
Tell me what you want for me
Take a look at what you see
Let me know if this right here
Is something you can have for years

Now Ma$e be the man wanna see you doing good
I don't wanna get rich, leave you in the hood
Girl, in my eyes you the baddest
The reason why I love you, you don't like me 'cause my status
I don't wanna see you with a carriage, living average
I wanna do my thing so we be established
And I don't want you rockin' them fabrics
Girl, I wanna give you carats 'til you feel you a rabbit
Anything in your path you want, you can have
Walk through the mall – if you like it, you can grab
Total it all up and put it on my tab
And then tell your friends all the fun you had

Tell me what you want for me (Oh yeah)
Take a look at what you see (Tell me what you want)
Let me know if this right here (Right here)
Is something you can have for years (Have for years)
Tell me what you want for me (Tell me what you want)
Take a look at what you see
Let me know if this right here
Is something you can have for years

Hey, mama, won't you come here to papa?
You don't like the way your tatas lookin' at Shada?
In a six-hunnid, ain't no smokin' cigada
Come over here, I think I see your baby father
Here ya go, the number to my casa
If you in a rush, you call me mañana
Whatever you need, girlfriend, I got the whole enchilada
Just the way you like it, Ma$e gon' do you propa
Girl, I can tell you was meant for me
I can tell by the way you was sent to me
While I'm on tour trying to make them centuries
And they ask who your man, you better mention me
If you don't, you know you got a problem
Said you want no beef? Girlfriend, don't start none
And it just so happen that I'm seeing cash
'Cause you messed up a lot just trying to be fast
And I ain't gonna ask who smashed the E-Class
Pull up to the crib with the whole front crashed
Now you wanna laugh, good thing that's the past
If you ever lie again, girl, that'll be your last

Tell me what you want for me (Tell me what you want)
Take a look at what you see (Take a look at me)
Let me know if this right here (Ooh)
Is something you can have for years (I'll let you know)
Tell me what you want for me
Take a look at what you see (Is all you can have)
Let me know if this right here
Is something you can have for years (Ayy, yeah, yeah)

Now the more you treat me royal, I adore you (Oh yeah)
That's why I don't mind doing these things for you (Oh yeah)
You did things for me I wouldn't believe you did
That's why I always want to keep you here (With you, hey)
In a year or two, girl, I could see you with my kids
Girl, you make a thug want to get a legal gig
It's only right we spend our lonely nights  (Love, alone with me and you)
Gettin' crazy biz 'til we awake the kids
Don't get too loud, got respect for you, honey
To keep it all real, you come second to my money
And can you be my ghetto love prophecy? (Yeah)
Everybody love you, girl, not just me  (Yeah, yeah, yeah, yeah)
And I know that you really care a lot for me
Wanna see you happy, even if it's not with me (Not with me) (Yeah, yeah, uh)
So even if you're not with me (So what you want?)

Tell me what you want for me (Mm)
Take a look at what you see
Let me know if this right here (I said)
Is something you can have for years (Something you can have)
Tell me what you want for me (For me)
Take a look at what you see
Let me know if this right here (Oh)
Is something you can have for years (For years)
Tell me what you want for me (Me)
Take a look at what you see (Yeah)
Let me know if this right here (Is this what you want, hey)
Is something you can have for years
Tell me what you want for me (Tell me what you want)
Take a look at what you see
Let me know if this right here (You got me)
Is something you can have for years (And you, for you)
For years
Tell me what you want for me (What you want)
Take a look at what you see (Mm)
Let me know if this right here (Uh)
Is something you can have for years (Yeah)
Tell me what you want for me (Tell me)
Take a look at what you see (Am I what you need, boy?)
Let me know if this right here (You got me)
Is something you can have for years (I said—)","Hip-Hop, rap, hip hop, rnb, bad boy"
31,32,"""Frozen""",Madonna,"45 ContributorsTranslationsPortuguêsItalianoУкраїнськаFrozen Lyrics“Frozen” was released as the lead single from Madonna’s seventh studio album, Ray of Light. A mid-tempo electronica ballad, the song talks about a cold and emotionless person.
Acclaimed by the music critics… Read More 
You only see what your eyes want to see
How can life be what you want it to be?
You're frozen when your heart's not open
You're so consumed with how much you get
You waste your time with hate and regret
You're broken when your heart's not open

Mmm-mmm, if I could melt your heart
Mmm-mmm, we'd never be apart
Mmm-mmm, give yourself to me
Mmm-mmm, you hold the key

Now there's no point in placing the blame
And you should know I suffer the same
If I lose you, my heart will be broken
Love is a bird, she needs to fly
Let all the hurt inside of you die
You're frozen, when your heart's not open

Mmm-mmm, if I could melt your heart
Mmm-mmm, we'd never be apart
Mmm-mmm, give yourself to me
Mmm-mmm, you hold the key


You only see what your eyes want to see
How can life be what you want it to be?
You're frozen, when your heart's not open

Mmm-mmm, if I could melt your heart
Mmm-mmm, we'd never be apart
Mmm-mmm, give yourself to me
Mmm-mmm, you hold the key
If I could melt your heart
Mmm-mmm, we'd never be apart
Mmm-mmm, give yourself to me
Mmm-mmm, you hold the key

If I could melt your heart","pop, dance, female vocalists, 80s, electronic"
32,33,"""Gone till November""",Wyclef Jean,"28 ContributorsGone Till November LyricsThis track comes right in the middle of The Carnival and manages to sound like nothing else on the record.
In this song, Wyclef tells the story of a drug pusher that has to leave his girlfriend because he… Read More 
I dedicate this record, The Carnival, to all you brothers takin' long trips down south
Virginia, Baltimore, all around the world
And your girl gets this message that you ain't comin' back
She's sittin' back in her room, the lights is off, she's cryin'
And then my voice comes in, pow
In the middle of the night and this is what I told her for you

Every time I make a run
Girl, you turn around and cry
I ask myself, ""Why, oh, why?"" (One-two, one-two)
See, you must understand, I can't work a nine to five
So I'll be gone 'til November (One-two, one-two)
Said I'll be gone 'til November, I'll be gone 'til November
Yo, tell my girl, yo, I'll be gone 'til November
I'll be gone 'til November, I'll be gone 'til November (Ready?)
Yo, tell my girl, yo, I'll be gone 'til November (One-two, one-two)
January, February, March, April, May
I see you cryin', but girl, I can't stay
I'll be gone 'til November, I'll be gone 'til November
And give a kiss to my mother (Y'all ready?)

When I come back, there'll be no need to clock
I'll have enough money to buy out blocks
Tell my brother go to school in September
So he won't mess up in summer school in the summer
Tell my cousin, Jerry, wear his condom
If you don't wear condom, you'll see a red lump
Woah, oh-oh-oh
You sucker MC's, you got no flow
I heard your style, you're s-o s-o

Every time I make a run
Girl, you turn around and cry
I ask myself, ""Why, oh, why?""
See, you must understand, I can't work a nine to five
So I'll be gone 'til November
Said I'll be gone 'til November, I'll be gone 'til November
Yo, tell my girl, yo, I'll be gone 'til November
I'll be gone 'til November, I'll be gone 'til November
Yo, tell my girl, yo, I'll be gone 'til November
January, February, March, April, May
I see you cryin', but girl, I can't stay
I'll be gone 'til November, I'll be gone 'til November
And give a kiss to my mother

I had to flip nothin' and turn it into somethin'
Hip-hop turns to the future rock when I smash a pumpkin
Commit treason, then I'll have a reason
To hunt you down, it's only right, it's rappin' season
Yeah, you with the loud voice, posin' like you're top choice
Your voice, I'll make a hearse out of your Rolls-Royce
Besides, I got my girl to remember
And I committed that I'll be back in November

Every time I make a run
Girl, you turn around and cry
I ask myself, ""Why, oh, why?""
See, you must understand, I can't work a nine to five
So I'll be gone 'til November
Said I'll be gone 'til November, I'll be gone 'til November
Yo, tell my girl, yo, I'll be gone 'til November
I'll be gone 'til November, I'll be gone 'til November
Yo, tell my girl, yo, I'll be gone 'til November
January, February, March, April, May
I see you cryin', but girl, I can't stay
I'll be gone 'til November, I'll be gone 'til November
And give a kiss to my mother

I know the hustle's hard, but we gotta enterprise, The Carnival","Hip-Hop, reggae, rap, rnb, hip hop"
33,34,"""My Body""",LSG,"10 ContributorsMy Body LyricsMy body, your body
(All over your body, baby)
My body, your body
My body, your body
(All over my body, girl)
My body, your body
All over my body girl
My body, your body
(All over your body, baby)
My body, your body
My body, your body
(All over my body)
My body, your body
My body, your body
All over my body, girl
In the middle of the night
When my body's feenin' for you, baby
Gotta call you up and let you know
It's what I'm feelin', baby
Nine one one zero zero twenty-four
Baby, it's an emergency
I'm callin' 'cuz gotta have some more
How would you like if I lay you down
(If I lay you down)
Would you like it if I was to sex you down

I can't think about nothing else
You sentulate me with your love
It ain't no secret, girl
Your body fits me like a glove
My body all over your body, babe
(Baby, it's your body, babe)
Your body all over my body, babe
(Yours over mine)
My body all over your body
It's your body, baby
(It's yours all over, over your body, babe)
My body all over your body, babe
(It's your body, yeah)
Your body all over my body, babe
(I cling to your body, baby)
My body all over your body
(Baby, it's your body, babe)
Oh, it's your body babe
All over my body, girl
Wanna fill you up till your river flows all over me
Wanna feel your precious treasure
Wrapped around me, oh, so tightly
In, out, I wanna hear you shout

Won't you come on, baby, let me break you off
I guarantee I'll turn you out
How would you like if I lay you down
Would you like it if I was to sex you down
Baby, girl stop fighting you know
You want me just like I want you
Never had a lover that would do
The things that Johnny can do
My body all over your body, babe
(It's your, yeah)
Your body all over my body, babe
(Said, it's your body)
My body all over your body
It's your body, babe
(It's yours body, babe)
All over my body, babe
(My body)
My body all over your body, babe
(Said, it feels so good)
Your body all over my body, babe
(Said, it feels so nice, so nice)
My body all over your body
(It's your body, babe)
Oh, it's your body, baby
If I beg, please, play on

My, my, my body, yeah
Keep on playin' on
It's your body, body, body, body, body
Your sexy body, all over my body, babe
It's your body, body, body, body, body
Your fine body, all over my body
(Baby, it's your body)
My body all over your body, babe
(My body all over your body)
Your body all over my body, baby
(Could you feel me, baby)
My body all over your body
(Oh)
It's your body, babe
(Yeah)
All over your body
(Give me your body, baby)
My body all over your body
(All over your body)
Your body all over my body)
(It's all I need, all I want)
(Can't you feel me)
My body all over your body
(Oh, baby, it's your body, baby)
Oh, it's your body, babe
Feel me, your body
It's your body, baby","rnb, trance, soul, electronic, LSG"
34,35,"""Tubthumping""",Chumbawamba,"73 ContributorsTubthumping LyricsIn the UK, a tubthumper is a politician. The US equivalent of tubthumping is ""stumping"" (campaigning). The liner notes on the album Tubthumper, from which ""Tubthumping"" was the first single, put the song in a… Read More 
Truth is, I thought it mattered
I thought that music mattered
But does it? Bollocks!
Not compared to how people matter

We'll be singin'
When we're winnin'
We'll be singin'

I get knocked down, but I get up again
You're never gonna keep me down
I get knocked down, but I get up again
You're never gonna keep me down
I get knocked down, but I get up again
You're never gonna keep me down
I get knocked down, but I get up again
You're never gonna keep me down

Pissin' the night away, pissin' the night away
He drinks a Whiskey drink, he drinks a Vodka drink
He drinks a Lager drink, he drinks a Cider drink
He sings the songs that remind him of the good times
He sings the songs that remind him of the better times
Oh, Danny Boy, Danny Boy, Danny Boy

I get knocked down, but I get up again
You're never gonna keep me down
I get knocked down, but I get up again
You're never gonna keep me down
I get knocked down, but I get up again
You're never gonna keep me down
I get knocked down, but I get up again
You're never gonna keep me down

Pissin' the night away, pissin' the night away
He drinks a Whiskey drink, he drinks a Vodka drink
He drinks a Lager drink, he drinks a Cider drink
He sings the songs that remind him of the good times
He sings the songs that remind him of the better times
Don't cry for me, next-door neighbour

I get knocked down, but I get up again
You're never gonna keep me down
I get knocked down, but I get up again
You're never gonna keep me down
I get knocked down, but I get up again
You're never gonna keep me down
I get knocked down, but I get up again
You're never gonna keep me down


I get knocked down, (We'll be singin') but I get up again
You're never gonna keep me down (When we're winnin')
I get knocked down, (We'll be singin') but I get up again
You're never gonna keep me down (Ooh)
I get knocked down, (We'll be singin') but I get up again
You're never gonna keep me down (When we're winnin')
I get knocked down, (We'll be singin') but I get up again
You're never gonna keep me down (Ooh)

I get knocked down, (We'll be singin') but I get up again (Pissin' the night away)
You're never gonna keep me down (When we're winnin')
I get knocked down, (We'll be singin') but I get up again (Pissin' the night away)
You're never gonna keep me down (Ooh)
I get knocked down, (We'll be singin') but I get up again (Pissin' the night away)
You're never gonna keep me down (When we're winnin')
I get knocked down, (We'll be singin') but I get up again (Pissin' the night away)
You're never gonna keep me down (Ooh)
I get knocked down, (We'll be singin') but I get up again (Pissin' the night away)
You're never gonna keep me down (When we're winnin')
I get knocked down, (We'll be singin') but I get up again (Pissin' the night away)
You're never gonna keep me down (Ooh)
I get knocked down, (We'll be singin') but I get up again (Pissin' the night away)
You're never gonna keep me down (When we're winnin')
I get knocked down, (We'll be singin') but I get up again (Pissin' the night away)
You're never gonna keep me down (Ooh)
I get knocked down, (We'll be singin') but I get up again (Pissin' the night away)
You're never gonna keep me down (When we're winnin')
I get knocked down, (We'll be singin') but I get up again (Pissin' the night away)
You're never gonna keep me down (Ooh)
I get knocked down, (We'll be singin') but I get up again (Pissin' the night away)
You're never gonna keep me down (When we're winnin')
I get knocked down, (We'll be singin') but I get up again (Pissin' the night away)
You're never gonna keep me down (Ooh)
I get knocked down, (We'll be singin') but I get up again (Pissin' the night away)
You're never gonna keep me down","alternative, punk, anarcho-punk, pop, rock"
35,36,"""Deja Vu (Uptown Baby)""",Lord Tariq and Peter Gunz,"44 ContributorsDeja Vu (Uptown Baby) LyricsThe New York neighborhoods get some love in this signature single from the duo’s sole album Make It Reign.

New York to the heart, but got love for all
Lie and die in the fire, where I learned to ball
Uptown is the place where I lay my dome
On the streets of the Bronx where my family roam
Ho damn it, we home, Peter got a nine millimeter
Playa haters can feel the flame from my heater
I never really liked to play a fool like that
But I love to succeed and see foes fall flat
Splat, like deja vu
And I got another clip that'll daze y'all crew
I sip Cristal, Dom P, Mo' with pist-al
Just cause I'm pissy, don't mean you should misdoubt
Keep em near da fifties and, hundreds all arranged
Anything less than that, you keep the change
Not filthy rich, but bitch I'm barely broke
Blessed with flows that keep you hooked like dope
Friends call me Gunz, sons call me trife
Cause I'm quick to slide off and slide this dick up in your wife
And that's life, you should learn how to treat her
I guarantee Peter, knows how to eat her
And beat her, niggas in the Bronx call me Lex
Cause I push a Lex, and I rock a Rolex
And I lounge on Lex, and I love sex
And I wave techs on sets that be tryin to flex
Like Dex, nigga God rest your soul
But when you're playin cards for Gunz, it ain't no time to fold

New York niggas got crazy game
But outta town niggas is all the same
Brooklyn niggas get crazy loot
That's because when it's beef they ain't scared to shoot
Harlem niggas know how to play
Mack the 600, getting crazy pay
Niggas outta Queens got shit on lock
Strapped with the Glock, running up in your spot

But if it wasn't for the Bronx
This rap shit probably never would be going on
So tell me where you from
(Uptown baby, uptown baby
We gets down baby, up for the crown baby)
Now if it wasn't for the Bronx
This rap shit probably never would be going on
So tell me where you from
(Uptown baby, uptown baby
We gets down baby, up for the crown baby)

Yo the RM-80, is parked in the lot
Right next to the Mercedes, keep the heat cocked
For these blocks that are shady, you're crazy if you walk around
Thinking shit's gravy; stop me? Maybe
I'm livin life lawless, makin big investments
On them 8-class flawless, and hoes call us
I'm comfortable like Recaro, two quarters of my life
Walkin roads type narrow, deep thoughts which I abide by
Puffin high, got my mind's eye, points sharper
Than an arrow gettin high, keep your eye on the sparrow
Riches like the pharaoh, bought a new five
With the snitches for these hoes, trunk full of ammo
Keep my toast closer than most niggas keep they own shadow
And I strap for my foes like a saddle
I rock stones, other niggas rock gravel
Talk shit? Whatever have you, I'm from Soundview
Bronx most wanted, front get confronted
Playa, we rollin deep in the one point five hundreds
Like Big I., red eyed, mad blunted
You step outside and get blooded have your whole block flooded
With the Bronx it's a warnin, stormin guns out
From dusk 'til dawn and it's on, no doubt
Keep a eye on yo' bitch when I'm roamin about
And put a eye on yo' lip nigga, watch yo' mouth
I'm from the Bronx, wipe yo' feet when you step in my house
Cause you's a small-time nigga, bout a half an ounce now

New York niggas got crazy game
But outta town niggas is all the same
Brooklyn niggas get crazy loot
That's because when it's beef they ain't scared to shoot
Harlem niggas know how to play
Mack the 600, getting crazy pay
Niggas outta Queens got shit on lock
Strapped with the Glock, running up in your spot

But if it wasn't for the Bronx
This rap shit probably never would be going on
So tell me where you from
(Uptown baby, uptown baby
We gets down baby, up for the crown baby)
Now if it wasn't for the Bronx
This rap shit probably never would be going on
So tell me where you from
(Uptown baby, uptown baby
We gets down baby, up for the crown baby)

Uh, Peter Gunz like what
Uh, The Lord Tariq is like what
Uh, Soundview like what
Uh, one-seventy-fourth like what
Uh, Money Boss like what
Uh, The Gun Runners like what
Uh, and KNS like what
Uh, and Uptown like what
Shao-lin, play, play on
Strong Isle, play play on and a
Mt. Vern, play play on
And Yonkers, play play on and a
Puttin' it down for N.Y. ya know what I mean
N.Y. and world wide","Hip-Hop, rap, east coast rap, East Coast, hip hop"
36,37,"""I Want You Back""",NSYNC,"29 ContributorsI Want You Back LyricsN Sync was already super popular in Germany because of this single in 1996. Two years later, it gained some traction in the U.S. and led to the phenomenon of this boyband.
You're all I ever wanted
You're all I ever needed, yeah
So tell me what to do now
'Cause
Lance: I...
Joey: I...
Justin: I...
JC: I...
Chris: I...
All: I want you back

It's hard to say I'm sorry
It's hard to make the things I did undone
A lesson I've learned too well for sure
So don't hang up the phone now
I'm tryna figure out just what to do
I'm goin' crazy without you

You're all I ever wanted
You're all I ever needed (Yeah)
So tell me what to do now
When I want you back

Baby, I remember
The way you used to look at me and say
""Promises never last forever""
I told you not to worry
I said that everything would be all right
I didn't know then that you were right

You're all I ever wanted
(Baby, you're all)
You're all I ever needed (Yeah)
So tell me what to do now
When I want you back (Back...)

I want you back
Oh oh

Yeah...
You're the one I want
You're the one I need
Girl, what can I do?
You're the one I want
You're the one I need
Tell me, what can I do?

You're all I ever wanted
(You're the one I want)
You're all I ever needed
(You're the one I need)
So tell me what to do now
(Tell me, what can I do?)
When I want you back

You're all I ever wanted, hey
You're all I ever needed, yeah
So tell me what to do now
When I want you back","pop, boybands, 90s, dance, boy band"
