Unnamed: 0,№,Title,Artist(s),lyrics,genres
47,48,"""Breakin' My Heart (Pretty Brown Eyes)""",Mint Condition,"16 ContributorsBreakin’ My Heart (Pretty Brown Eyes) Lyrics“Breakin' My Heart (Pretty Brown Eyes)” peaked at #6 on the Billboard Hot 100 and #3 on Billboard’s R&B chart in 1992, becoming Mint Condition’s biggest hit song to date.
Pretty brown eyes

Pretty brown eyes
You know I see you
It's a disguise the way you treat me (The way you treat me, pretty brown eyes)
You keep holding on
To your thoughts of rejection
If you're with me, you're secured
You keep telling me
That your time is always taken
But I keep seeing you out alone (Out alone, pretty brown eyes)
Listen to love
Your heart is pounding with desire
Waiting to be unleashed

Quit breakin' my heart
Breakin' my heart (Pretty brown eyes)
Breakin' my heart
Breakin' my heart (Pretty brown eyes)
Sugar, yeah, yeah

Don't tell your friends
That I don't mean nothing to you
Please don't deny the truth (Pretty brown eyes)
Tell me right now
I know your heart is in the right place
You know I won't let you down, yeah, yeah
You can't disguise
All the pounding of your heart, yeah
(I see your eyes)
I see your eyes (Pretty brown eyes) and you can't hide
Start to make sense
And quit playin' these love games
Tell me what you're gonna do, yeah

Quit breakin' my heart
Breakin' my heart (Pretty brown eyes)
Breakin' my heart
Breakin' my heart (Pretty brown eyes)

(Pretty brown eyes)
(Pretty brown eyes)

I just wanna know one thing
Will you be with me? (Pretty brown eyes)

Here comes my darling
Here comes romance
Here comes my love
And please, honey, will you dance?

Quit breakin' my heart
Breakin' my heart (Pretty brown eyes)
Breakin' my heart
Breakin' my heart (Pretty brown eyes)

Here comes my love
Here comes romance
Here comes my darling
Here comes romance
Oh yeah
(Pretty brown eyes)
Breakin' my heart (Pretty brown eyes)
Breakin' my heart (Pretty brown eyes)","rnb, soul, Mint Condition, Neo-Soul, rhythm and blues"
48,49,"""Wishing on a Star""",The Cover Girls,"8 ContributorsWishing on a Star Lyrics“Wishing On a Star” was originally sung by Rose Royce in 1978.
The Cover Girls' version peaked at #9 on the Billboard Hot 100 in 1992. It also charted on Billboard’s dance music and R&B chart.
Music Video
I'm wishing on a star
To follow where you are
I'm wishing on a dream
To follow what it means

I'm wishing on a star
To follow where you are
I'm wishing on a dream
To follow what it means

And I wish on all the rainbows
That I see
I wish on all the people
Who really dream
And I'm wishing on tomorrow
Praying it'll come
And I'm wishing on all the lovin'
We've ever done

I never thought I'd see
A time when you would be
So far away from home
So far away from me

Just think of all the moments
That we spent
I just can't let you go
For me, you were meant
And I didn't mean to hurt you
But I know
That in the game of love
You reap what you sow

I feel it's time
We should make up, baby
I feel it's time
For us to get back together
Make the best of things
Oh, baby
When we're together
Whether or never
I feel it's time
We should make up, baby
I feel it's time
For us to get back together
Make the best of things
Oh baby
When we're together
Whether or never
Oh woh woh, ooh

I'm wishing on a star
To follow where you are
I'm wishing on a dream
To follow what it means

And I wish on all the rainbows
That I see
I wish on all the people
We'll never be
And I'm hoping on all the days to come
And days to go
And I'm hoping on days of
Lovin' you so

I'm wishing on a star
To follow where you are
(Follow where you are)
I'm wishing on a star, oh oh (Wishing on a star)
And I wish on all the rainbows that I see
Ooh, oh oh oh oh oh oh
(Wishing on a, wishing on a, wishing on a)
Wishing on a star
Oooh to follow where you are
(Wishing on a, wishing on a, wishing on a)
Wishing on a star
I'm wishing
Ooh, ooh
(Wishing on a, wishing on a, wishing on a star)
(Wishing on a, wishing on a)
Wishing on a star","freestyle, 80s, pop, dance, female vocalists"
49,50,"""She's Playing Hard to Get""",Hi-Five,"2 ContributorsShe’s Playing Hard to Get Lyrics“She’s Playing Hard to Get” peaked at #5 on the Billboard Hot 100 and #2 on Billboard’s R&B chart.
She likes me
She's playing
She's playing hard
She's playing hard to get
She's playing
She
But she likes me
She likes me
She's playing hard to get
She's playing
She
But she likes me
She likes me
She likes me
She's playing

I can tell by the look in her eyes
That she's into me
'Cause when she passes by and say ""Hi""
I can tell by her smile

That she's shy as can be
(She's playing)
I don't think she can see my crush on her
But I can feel her crush on me

She's playing hard to get
She just won't admit
That she likes me
She likes me
She's playing hard to get
She just won't admit
Ooh, yeah
That she likes me
She likes me
She's playing hard

I can feel her vibe for me
Even though she hasn't said a word
I bet she's glad I'm reading her mind
'Cause there's so much ('cause there's so much)
She wants to say
But she doesn't have the nerve
And all that she doesn't say
Oh, I'm sure
I see it in her eyes


You don't have to say a word (playing hard)
But I'll still know
I'll still know
How deep the feelings are
You have for me
Your smile
And the look in your eyes
Says more than any words you could ever say


Come on, baby girl
So why are you doing this?
Playing hard to get
I know that you want me
I see it in your eyes
You can't hide it
You're playing hard to get
Playing hard to get
I don't think she can see my crush on her
But I can feel her crush on me","rnb, 90s, soul, new jack swing, urban"
50,51,"""I'd Die Without You""",P.M. Dawn,"12 ContributorsI’d Die Without You LyricsThe 90’s were chock full of R&B hits, and this one was a good one.
This song was featured on the Boomerang soundtrack before it eventually landed on PM Dawn’s third album, strangely titled, The Bliss Album…?
Is it my turn, to wish you were lying here?
I tend to dream you when I'm not sleeping
Is it my turn to fictionalize my world?
Or even imagine your emotions, tell myself anything, yeah
Is it my turn, to hold you by your hands?
Tell you I love you and you not hear me
Is it my turn to totally understand?
To watch you walk out of my life and not do a damn thing

If I have to give away the feeling that I feel, yeah
If I have to sacrifice oh, whatever babe, whatever baby
If I have to take apart all that I am
Is there anything that I would not do

'Cause inside I'd die without you
Yeah baby, 'cause I'd die without you
'Cause inside I'd die without you

Oh, I apologize for all the things I've done
But now, I'm underwater and I'm drowning
Is it my turn to be the one to cry?
Isn't it amazing how some things just completely turn around?

So take every little piece of my heart
Yeah, take every little piece of my soul
Yeah, take every little bit of piece of my mind
'Cause if you're gone, inside, I'd die without you

If I have to give away the feeling that I feel, yeah
If I have to sacrifice oh, whatever babe, whatever baby
If I have to take apart all that I am
Is there anything that I would not do

'Cause inside I'd die without you
'Cause inside I'd die without you
'Cause inside I'd die without you
Die without you, yeah
'Cause inside I'd die without you
Die without you, I'd die without you
'Cause inside I'd die without you
Die without you
'Cause inside I'd die without you
Die without you, yeah baby
'Cause inside I'd die without you
Die without you
'Cause inside I'd die without you","Hip-Hop, 90s, soul, rap, hip hop"
51,52,"""Good for Me""",Amy Grant,"5 ContributorsGood for Me LyricsGood For Me peaked at #8 on the Billboard Hot 100 and #4 on Billboard’s Adult Contemporary chart in 1992.
You like to dance
And listen to the music
I like to sing with the band
You like your hands
Splashing in the ocean
Well, I like my feet on the sand

Does anybody have it any better?
Isn't it easy to see
Just how well we fit together

When I start to sing the blues
You pull out my dancing shoes
I think you could be so good for me
You get brave
When I get shy
Just another reason why
I think you could be so good for me
So good

You like to drive
Like Mario Andretti
I like it
Taking my time

But let me say
Wherever you are going
You know it suits me just fine

Does anybody have it any better?
Isn't it easy to see
Just how well we fit together

When I start to sing the blues
You pull out my dancing shoes
I think you could be so good for me
You get brave
When I get shy
Just another reason why
I think you could be so good for me
So good
Could be so good for me
You could be so good
Could be so good
Could be so good for me
You get brave
When I get shy
I know the reason why
You could be so good for
Good for me, baby
Good for me, baby

When I want to sing the blues
Good for me, baby
Oh
When I want to sing the blues
Good for me, baby
You could be so good
Good for me, baby
When I want to sing the blues
Good for me, baby","pop, christian, female vocalists, contemporary christian, gospel"
52,53,"""All I Want""",Toad the Wet Sprocket,"15 ContributorsAll I Want LyricsReleased as a single in 1992, “All I Want” went on to become Toad’s biggest hit, reaching No. 15 in Billboard’s Hot 100.
The song’s resigned air clings to a feeling that once was or that hangs just beyond… Read More 
Nothing's so loud
As hearing when we lie
Truth is not kind
And you've said neither am I

And the air outside, so soft
Is saying everything
Everything

All I want is to feel this way
To be this close, feel the same
All I want is to feel this way
The evening speaks, feel it say

Nothing's so cold
As closing the heart when all we need
Is to free the soul
But we wouldn't be that brave, I know

And the air outside, so soft
Confessing everything
Everything

All I want is to feel this way
To be this close, feel the same
All I want is to feel this way
The evening speaks, feel it say

And it won't matter now
Whatever happens will be
Though the air speaks of all we'll never be
It won't trouble me


All I want is to feel this way
To be this close, feel the same
All I want is to feel this way
The evening speaks, feel it say

And it feels so close (All I want is to feel this way)
Let it take me in (Be this close, feel the same)
Let it hold me so (All I want is to feel this way)
I can feel it say (Evening speaks, feel it say)","alternative, alternative rock, 90s, rock, indie"
53,54,"""When a Man Loves a Woman""",Michael Bolton,"19 ContributorsWhen a Man Loves a Woman LyricsWhen a man loves a woman
Can't keep his mind on nothin' else
He'd trade the world
For the good thing he's found
If she is bad, he can't see it
She can do no wrong
Turn his back on his best friend
If he puts her down
When a man loves a woman
Spend his very last dime
Trying to hold on
To what he needs
He'd give up all his comforts
Sleep out in the rain
If she said that's the way
It oughta be, hey
When a man loves a woman, hey
I give you everything I've got
Trying to hold on to your precious love
Baby, baby please don't treat me bad
When a man loves a woman
Deep down in his soul
She can bring him
Such misery

If she is playing him for a fool
He's the last one to know
Loving eyes
Can never see
Yes when a man loves a woman
I know exactly how he feels
Cause, baby, baby
When a man loves a woman, oh
When a man loves a woman, yeah
When a man loves a woman
When a man, when a man, when a man loves a woman
Ooh","pop, soft rock, soul, male vocalists, rock"
54,55,"""I Can't Dance""",Genesis,"32 ContributorsI Can’t Dance LyricsThe song’s motivation, according to Phil Collins‘ 1997 appearance on VH1 Storytellers, was a bit of contempt for male models, calling them “airheads.” He said this was a “mickey take” on jeans advertisements.… Read More 
Hot sun beating down
Burning my feet just walking around
Hot sun making me sweat
Gator's getting close, hasn't got me yet

I can't dance, I can't talk
Only thing about me is the way I walk
I can't dance, I can't sing
I'm just standing here selling everything

Blue jeans sitting on the beach
Her dog's talking to me, but she's out of reach
She's got a body under that shirt
But all she wants to do is rub my face in the dirt

'Cause I can't dance, I can't talk
Only thing about me is the way I walk
I can't dance, I can't sing
I'm just standin' here selling

Oh, and checking everything is in place
You never know who's looking on

Young punk spilling beer on my shoes
Fat guys talking to me try to steal my blues
Thick smoke, see her smiling through
I never thought so much could happen just shootin' pool

But I can't dance, I can't talk
The only thing about me is the way that I walk
I can't dance, I can't sing
I'm just standing here selling

Oh, and checking everything is in place
You never know who's looking on
A perfect body with a perfect face, mhm

No, I can't dance, I can't talk
The only thing about me is the way I walk
No, I can't dance, I can't sing
I'm just standing here selling everything

But I can walk
No, I can't dance
No-no-no, I can't dance
No, I said I can't sing
But I can walk","Progressive rock, classic rock, rock, 80s, Progressive"
55,56,"""Hazard""",Richard Marx,"21 ContributorsHazard Lyrics“Hazard” is a pop song written about the fictional story of a man who is being accused of murdering his girlfriend without substantial evidence. It all started when he moved to a small historic town called… Read More 
My mother came to Hazard when I was just seven
Even then, the folks in town said with prejudiced eyes
That boy's not right
Three years ago, when I came in on Mary
First time that someone looked beyond the rumors and the lies
Saw the man inside

We used to walk down by the river
She loved to watch the sun go down
We used to walk along the river
And dream our way out of this town

No one understood what I felt for Mary
No one cared until the night she went out walking all alone
And never came home
Man with a badge came knocking next morning
Here was I, surrounded by a thousand fingers suddenly
Pointed right at me

I swear I left her by the river
I swear I left her safe and sound
I need to make it to the river
And leave this old Nebraska town

I think about my life gone by
How it's done me wrong
There's no escape for me this time
All of my rescues are gone, long gone

I swear I left her by the river
I swear I left her safe and sound
I need to make it to the river
And leave this old Nebraska town","pop, soft rock, 80s, singer-songwriter, rock"
56,57,"""Mysterious Ways""",U2,"29 ContributorsMysterious Ways LyricsMysterious Ways is the second single and eighth track from the critically acclaimed album “Achtung Baby”. The song describes a man who doesn’t understand love. It also draws religious parallels because of its… Read More 
Johnny, take a walk with your sister the moon
Let her pale light in to fill up your room
You've been living underground, eating from a can
You've been running away from what you don't understand, love

She's slippy, you're sliding down
She'll be there when you hit the ground

It's alright, it's alright, it's alright
She moves in mysterious ways
It's alright, it's alright, it's alright
She moves in mysterious ways, oh

Johnny, take a dive with your sister in the rain
Let her talk about the things you can't explain
To touch is to heal, to hurt is to steal
If you wanna kiss the sky, better learn how to kneel
On your knees, boy

She's the wave, she turns the tide
She sees the man inside the child, yeah

It's alright, it's alright, it's alright
She moves in mysterious ways, oh
It's alright, it's alright, it's alright
She moves in mysterious ways, yeah
It's alright, it's alright, alright
Lift my days, light up my nights, oh

One day you'll look back, and you'll see
Where you were held now by this love
While you could stand there
You could move on this moment
Follow this feeling

It's alright, it's alright, it's alright
She moves in mysterious ways
It's alright, it's alright, it's alright
She moves in mysterious ways, oh
Love (It's alright, it's alright, alright)
Oh love, love love
Oh, oh (We move through miracle days)
Oh love love
Move you (It's alright, it's alright, alright)
Spirits move
Let it move (Spirit moves in mysterious ways)
Does it move you?
Oh, ah
Does it move you? (It's alright, it's alright, alright)
She moves me
Lift my days, light up my nights, oh","rock, classic rock, irish, alternative, pop"
57,58,"""Too Funky""",George Michael,"11 ContributorsToo Funky LyricsGeorge Michael’s “Too Funky” was a worldwide smash upon its release in the summer of 1992. Originally written and recorded for Listen Without Prejudice, Vol. 2, an album that he never completed,  Michael… Read More 
I am not trying to seduce you
Would you like me to seduce you?
Is that what you're trying to tell me?
Y'all ready?
Hey, you're just too funky for me
I gotta get inside of you
And I'll show you heaven
If you let me
Hey, you're just too funky for me
I gotta get inside (I gotta get inside)
I gotta get inside of you
So when will that be?

I watch your fingers working overtime (overtime)
I've got to thinking that they should be mine (oh)
I'd love to see you naked baby
I'd like to think that sometime maybe tonight
If that's alright, yeah

Hey, you're just too funky for me
I gotta get inside of you
Won't let you go, I won't let you no no
Hey, you're just too funky for me
I gotta get inside (I gotta get inside)
I gotta get inside of you
I'll make you love me

I watch you drinking and I take my time (take my time)
I watch you sinking all of that cheap red wine (oh)
I've got to see you naked baby
I'd like to think that sometime maybe tonight
My goal's in sight, yeah

Baby, baby, baby why do you do this to me?
Won't let you go (won't let you go)
You're such a... you're such a...
Baby, baby, baby, why do you do this to me?
I got to know (I got to know)
(I'm gonna be the kind of lover that you never had)
Hey, you're just too funky
(You're never gonna have another lover in your bed)
You're just too funky for me

(Would you like me to seduce you?
Is that what you're trying to tell me?)

Everybody wants a lover like that, baby
Everybody wants a lover like that
Yeah, yeah
Everybody wants a lover like that
Everybody, everybody
Everybody wants a lover like that
(Is that what you're trying to tell me?)

Everybody wants a lover
Everybody wants a lover like that
Everybody wants a lover like that
Everybody wants a lover like that
Everybody wants a lover like that

(Would you like me to seduce you?)
You're such a... you're such a...
(Would you like me to seduce you?)
Yeah, yeah
(Would you like me to seduce you?)
You're such a... you're such a...
Yeah, yeah

Would you stop playing with that radio of yours?
I'm trying to get to sleep","pop, 80s, british, soul, dance"
58,59,"""How Do You Talk to an Angel""",The Heights,"7 ContributorsHow Do You Talk to an Angel LyricsSongwriter Steve Tyrell was brought into the TV show The Heights before the cast had been auditioned and chosen. He suggested to TV producer Aaron Spelling that Jamie Walters be hired. He was cast in the role… Read More I hear her voice
In my mind
I know her face by heart
Heaven and earth are moving in my soul
And I dont know where to start
Tell me tell me the words to define
The way I feel about someone so fine
How do you talk to an angel?
How do you hold her close to where you are?
How do you talk to an angel?
It's like tryin' to catch a falling star
At night I dream and she is there
And I can feel her in the air
Tell me tell me the words to define
The way I feel about someone so fine
How do you talk to an angel?
How do you hold her close to where you are?
How do you talk to an angel?
It's like tryin' to catch a falling star
How do you talk to an angel?
How do you hold her close to where you are?
How do you talk to an angel?
It's like tryin' to catch a falling star

How do you talk to an angel?
How do you hold her close to where you are?
How do you talk to an angel?
It's like tryin' to catch a falling star","Grime, jungle, Juke, footwork, breaks"
59,60,"""One""",U2,"55 ContributorsTranslationsTürkçeOne LyricsAfter experiencing massive success in the late ‘80s, U2 found themselves at a sticking point as the new decade dawned.
They’d decamped to Hansa Studios in Berlin just as the wall was coming down hoping that… Read More 
Is it getting better
Or do you feel the same?
Will it make it easier on you
Now you got someone to blame?

You say one love, one life
When it's one need in the night
One love, we get to share it
Leaves you, baby, if you don't care for it

Did I disappoint you
Or leave a bad taste in your mouth?
You act like you never had love
And you want me to go without

Well, it's too late tonight
To drag the past out into the light
We're one, but we're not the same
We get to carry each other, carry each other
One

Have you come here for forgiveness?
Have you come to raise the dead?
Have you come here to play Jesus
To the lepers in your head?

Did I ask too much? More than a lot
You gave me nothing, now it's all I got
We're one, but we're not the same
Well, we hurt each other, then we do it again

You say love is a temple, love a higher law
Love is a temple, love the higher law
You ask me to enter, but then you make me crawl
And I can't be holding on to what you got
When all you got is hurt

One love, one blood
One life, you got to do what you should
One life with each other
Sisters, brothers
One life, but we're not the same
We get to carry each other, carry each other
One
One

Ooh-ooh-ooh
Oh-ooh
Baby, baby, baby
Higher
Oh, higher (Baby, yeah, yeah)
Higher (Oh)
Higher","rock, classic rock, irish, alternative, pop"
60,61,"""Keep on Walkin'""",CeCe Peniston,"4 ContributorsKeep On Walkin’ Lyrics
You can just—
Walk on
Keep on
You can just go, walk on, keep on
You can just go, walk on, keep on

Sittin', waitin', anticipatin', waitin' for your call
Tossin', turnin', my heart's burnin' from the things I saw
I'm sorry, baby, you can't play me, I just can't be used
I'm so fed up, time to get up, baby, we are through

I thought that what we had would never end
But now it's too late for my heart to mend
And although what we had was good
I've got to make this understood

Keep on walkin', I ain't talkin to ya anymore (You can just go)
Keep on walkin', keep on walkin' (Keep on walkin')
Keep on walkin', I ain't talkin to ya anymore (You can just go)
Keep on walkin', keep on walkin' (We ain't talkin' no more)

I thought I told ya it was over, why are you confused?
You made your choice and now I'm voicin' my opinion to you
I think you're crazy to try to play me for a foolish girl
You'll soon discover you're not the only lover in this world

I thought that what we had would never end
But now it's too late for my heart to mend
And although what we had was good
I've got to make this understood

Keep on walkin', I ain't talkin to ya anymore (You can just go)
Keep on walkin', keep on walkin' (Oh, baby)
Keep on walkin', I ain't talkin to ya anymore (You can just go)
Keep on walkin', keep on walkin' (Go on, baby, yeah, yeah)

You— You can just walk on
You— You can just keep on

I thought that what we had would never end
Now it's too late, my heart won't mend
And although what we had was good
Got to make this understood
I know, I know, I know
I know it's just too late
I know, I know, I know
I know it's just too late

Keep on walkin', I ain't talkin to ya anymore (You can just—)
Keep on walkin', keep on walkin' (You can just go)

Walk on, keep on (You can just go)
Walk on, keep on

Ooh, ooh, ooh, ooh-ooh (You can just go)
Ooh, ooh, ooh, ooh-ooh (You can just go)
Ooh, ooh, ooh, ooh-ooh (You can just go)
Ooh, ooh, ooh, ooh-ooh (You can just go)
Ooh, ooh, ooh, ooh-ooh (You can just go)
Ooh, ooh, ooh, ooh-ooh
Oh, oh, oh, oh yeah
Oh, oh, oh, oh yeah
Ooh, ooh
Ooh, ooh
Ooh, ooh
Ooh, ooh
Ooh, ooh, ooh, ooh-ooh
Ooh, ooh, ooh, ooh-ooh","dance, House, pop, female vocalists, 90s"
61,62,"""Hold on My Heart""",Genesis,"11 ContributorsHold on My Heart Lyrics
Hold on my heart
Just hold on to that feeling
We both know we've been here before
We both know what can happen
Hold on my heart
'Cause I'm looking over your shoulder
Ooh, please don't rush in this time
Don't show her how you feel

Hold on my heart
Throw me a lifeline
I'll keep a place for you
Somewhere deep inside
So hold on my heart
Please tell her to be patient
'Cause there has never been a time
That I wanted something more

If I can recall this feeling
And I know there's a chance
Oh, I will be there
Yes, I will be there, be there for you
Whenever you want me to
Whenever you call
Oh, I will be there
Yes, I will be there

Hold on my heart
Don't let her see you crying
No matter where I go
She'll always be with me
So hold on my heart
Just hold on to that feeling
We both know we've been here before
We both know what can happen

So hold on my heart
Just hold on my heart
I'm gonna hold on to your heart
Hold on my heart
Hold on (Hold on my heart)
Just hold on
Just hold on (Hold on my heart)
Just hold on
Just hold on","Progressive rock, classic rock, rock, 80s, Progressive"
62,63,"""The Way I Feel About You""",Karyn White,"3 ContributorsThe Way I Feel About You Lyrics“The Way I Feel About You” is the second single from Karyn White’s second album Ritual of Love. The single peaked at #12 on the Billboard Hot 100 and #5 on the R&B chart.
Day after day
Just thinking about you
I can't wait to see your smiling face
Could this be love I'm feeling for you?
I've never felt this way before, no

I made a wish upon a shooting star
And, baby, here you are
Just you and me
That's the way it should be
My heart is waiting, it's an open door
Each day I'm gonna love you more
Of this I'm for sure
That's the way I feel about you

Bye-bye cloudy days
Sunshine's here to stay
Tell the world
That's the way I feel about you
Happy days are here
Whenever you're near
This is clear
That's the way I feel about you

I feel about you

I'm so satisfied with you in my life
You're everything I've dreamed of
Ooh, and it feels so good when I'm in your arms
Nothing even matters as long as you're loving me, yeah

I made a wish upon a shooting star
And, baby, here you are
Just you and me
That's the way it really should be
My heart is waiting, it's an open door
Each day I'm gonna love you more
Of this I'm sure
That's the way I feel about you

Bye-bye cloudy days
Sunshine's here to stay
Tell the world
That's the way I feel about you
Happy days are here
Whenever you're near
This is clear
That's the way I feel about you

Bye-bye cloudy days
Sunshine's here to stay
Tell the world
That's the way I feel about you
Happy days are here
Whenever you're near
This is clear
That's the way I feel about you
The way I feel about you, uh-uh-uh
The way I feel about you, uh-uh-uh
All about you

Every time you hold me in your arms
I look into your eyes and I see happiness
(And my heart just can't deny) what I'm feelin' (deep inside)
I love what you do when you do all the things that you do to me, yeah

Bye-bye cloudy days
Sunshine's here to stay
Tell the world
That's the way I feel about you
Happy days are here
Whenever you're near
This is clear
That's the way I feel about you

Bye-bye cloudy days
Sunshine's here to stay
Tell the world
That's the way I feel about you
Happy days are here
Whenever you're near
This is clear
That's the way I feel about you
Bye-bye cloudy days
Sunshine's here to stay
Tell the world
That's the way I feel about you
Happy days are here
Whenever you're near
This is clear
That's the way I feel about you","soul, rnb, 80s, female vocalists, pop"
63,64,"""Beauty and the Beast""",Celine Dion and Peabo Bryson,"29 ContributorsBeauty and the Beast Lyrics“Beauty and the Beast” is the title song from the movie Beauty and the Beast, performed by Celine Dion and Peabo Bryson. It is played at the end of the movie during the credits sequence.
The original version… Read More 
Ooh, ooh

Tale as old as time
True as it can be
Barely even friends
Then somebody bends
Unexpectedly

Just a little change
Small, to say the least
Both a little scared
Neither one prepared
Beauty and the beast

Ever just the same
Ever a surprise
Ever as before
And ever just as sure
As the sun will rise

Whoa, whoa-oh, whoa, oh
Ooh, whoa, whoa, whoa, oh

Ever just the same (Yeah)
Ever a surprise
Ever as before
Ever just as sure
As the sun will rise  (Oh, oh, oh)

Tale as old as time (Ooh-ooh, ooh-ooh)
Tune as old as song
Bittersweet and strange
Finding you can change
Learning you were wrong

Certain as the sun (Certain as the sun)
Rising in the east
Tale as old as time
Song as old as rhyme
Beauty and the beast
Tale as old as time
Song as old as rhyme
Beauty and the beast

Oh
Oh, whoa-oh
Ooh
Beauty and the beast","pop, female vocalists, Canadian, 90s, french"
64,65,"""Warm It Up""",Kris Kross,"14 ContributorsWarm It Up Lyrics“Warm It Up” was Kris Kross' second single behind their chart-topping debut “Jump”. Released June 4, 1992, it reached #13 on the Billboard Hot 100 that August, and topped the Rap chart.
It also peaked at #4… Read More 
Uh!
Huh, will you listen to how smooth it is?
Hey, uh, listen to them

(Warm it up, Kris) I'm about to
(Warm it up, Kris) 'Cause that's what I was born to do
(Warm it up, Kris) I'm about to
(Warm it up, Kris) 'Cause that's what I was born to do

So many times I heard you rhyme but you can't touch this
I'm kicking the type of flow that makes you say, ""You're too much, Kris""
So feel the fire of the one they call the Mac Dad
The fire's what I pack and what I pack is real bad
I'd like to grab ahold of your soul and never let go
Do the jump, do the Hump, and say (""Ho!"")
Now that's the state of mind I'm in, huh
With rhyme after rhyme I win
The Mac (The Mac)
Known for breakin' 'em off somethin'
They're laying in a better funk keeping your speakers pumpin'
The miggida-miggida Mac came to get 'em warm
And my pants to the back, that's my everyday uniform
You little cream puff Mac Daddy wannabe
Keep dreaming 'cause a Mac you will never be
So all y'all with the Dr. Seuss riddles
You can get the finger - the middle

(Warm it up, Kris) I'm about to
(Warm it up, Kris) 'Cause that's what I was born to do
(Warm it up, Kris) I'm about to
(Warm it up, Kris) 'Cause that's what I was born to do
(Warm it up, Kris) I'm about to
(Warm it up, Kris) 'Cause that's what I was born to do
(Warm it up, Kris) I'm about to
(Warm it up, Kris) Ayo Kris, kick it

I caught you on the scope (The scope)
Peepin' out my rhymes that's this dope (It's dope)
And for you there's no hope
My name (is what?) Daddy Mac, baby
Totally Krossed Out catching all the ladies
At the age I be, I should be playing with toys
Instead I put my head into making you make noise
That's how I kick it, that's my everyday life and
I rehearse to keep it sharp as a knife, man
I'm the wrong brother for suckers to be messing with
'Cause when I put the mic in my hand I start wrecking it
They call me the D-A-double-D-Y M-A-C
There ain't another brother bad as me
When I (Let go) something from the (Ghetto), word
A little brother kicking rhymes like you never ever heard
Daddy of them all, shooting the gift like a gun
Showing suckers how it's done

(Warm it up, Kris) I'm about to
(Warm it up, Kris) 'Cause that's what I was born to do
(Warm it up, Kris) I'm about to
(Warm it up, Kris) 'Cause that's what I was born to do
(Warm it up, Kris) I'm about to
(Warm it up, Kris) 'Cause that's what I was born to do
(Warm it up, Kris) I'm about to
(Warm it up, Kris) 'Cause that's what I was born to do

Yeah, now you all know (What's up?)
And the Macs are all that (Yeah)
And we gonna kick one more verse for y'all

So many times I heard you rhyme but you can't touch this
I'm kicking the type of flow that makes you say, ""You're too much, Kris""
So feel the fire of the one they call the Mac Dad
The fire's what I pack and what I pack is real bad
I'd like to grab ahold of your soul and never let go
Do the jump, do the Hump, and say (""Ho!"")
Now that's the state of mind I'm in, huh
With rhyme after rhyme I win

I'm the wrong brother for suckers to be messing with
'Cause when I put the mic in my hand I start wrecking it
They call me the D-A-double-D-Y M-A-C
There ain't another brother bad as me
When I (Let go) something from the (Ghetto), word
A little brother kicking rhymes like you never ever heard
Daddy of them all, shooting the gift like a gun
Kris Kross show 'em how it's done

(Warm it up, Kris) I'm about to
(Warm it up, Kris) 'Cause that's what I was born to do
(Warm it up, Kris) I'm about to
(Warm it up, Kris) 'Cause that's what I was born to do
(Warm it up, Kris) I'm about to
(Warm it up, Kris) 'Cause that's what I was born to do
(Warm it up, Kris) I'm about to
(Warm it up, Kris) 'Cause that's what I was born to do
(Warm it up, Kris) I'm about to
(Warm it up, Kris) 'Cause that's what I was born to do
(Warm it up, Kris) I'm about to
(Warm it up, Kris) 'Cause that's what I was born to do
(Warm it up, Kris) I'm about to
(Warm it up, Kris) That's what I was born to do
(Warm it up, Kris) I'm about to
(Warm it up, Kris) That's what I was born to do

Warm it up, Kris
Warm it up, Kris
Warm it up, Kris
Warm it up, Kris
Warm it up, Kris
Warm it up, Kris
Warm it up, Kris
Warm it up, Kris
Warm it up, Kris
Warm it up, Kris
Warm it up, Kris
Warm it up, Kris
Warm it up, Kris
Warm it up, Kris","Hip-Hop, rap, 90s, hip hop, old school"
