Unnamed: 0,№,Title,Artist(s),lyrics,genres
31,32,"""Said I Loved You...But I Lied""",Michael Bolton,"22 ContributorsSaid I Loved You...But I Lied Lyrics
Ooh-ooh, ooh-ooh

You are the candle, love's the flame
A fire that burns through wind and rain
Shine your light on this heart of mine
'Til the end of time

You came to me like the dawn through the night
Just shinin' like the sun
Out of my dreams and into my life
You are the one, you are the one

Said I loved you but I lied
'Cause this is more than love I feel inside
Said I loved you but I was wrong
'Cause love could never ever feel so strong
Said I loved you but I lied

With all my soul, I've tried in vain
How can mere words my heart explain?
This taste of heaven, so deep, so true
I've found in you

So many reasons in so many ways
My life has just begun
Need you forever, I need you to stay
You are the one, you are the one

Said I loved you but I lied
'Cause this is more than love I feel inside
Said I loved you but I was wrong
'Cause love could never ever feel so strong
Said I loved you but I lied


You came to me like the dawn through the night
Just shinin' like the sun
Out of my dreams and into my life
You are the one, you are the one

Said I loved you but I lied (Said I loved you but I lied)
'Cause this is more than love I feel inside (Said I loved you but I lied)
Said I loved you but I was wrong (Said I loved you but I'm wrong)
'Cause love could never ever feel so strong
Said I loved you (Said I loved you)

But this is more than love I feel inside
Said I loved you...but I lied","pop, soft rock, soul, male vocalists, rock"
32,33,"""Return to Innocence""",Enigma,"23 ContributorsTranslationsDeutschУкраїнськаReturn to Innocence LyricsReturn to Innocence is the lead single from German new age music project Enigma from their 1993 album The Cross of Changes.
The main vocals on the track are sung by Angel X (aka Andreas Harde).
The chant in… Read More 

Love, love, devotion, devotion
Feeling, feeling, emotion, emotion
Don't be afraid to be weak
Don't be too proud to be strong
Just look into your heart, my friend
That will be the return to yourself
The return to innocence

The return to innocence

If you want, then start to laugh
If you must, then start to cry
Be yourself, don't hide
Just believe in destiny
Don't care what people say
Just follow your own way
Don't give up and use the chance
To return to innocence



That's not the beginning of the end
That's the return to yourself
The return to innocence


That's the return to innocence","new age, ambient, electronic, chillout, electronica"
33,34,"""All I Wanna Do""",Sheryl Crow,"46 ContributorsAll I Wanna Do LyricsThis song was Sheryl Crow’s breakthrough hit; in 1995 it was nominated for Best Song of the Year, won the award for Best Female Pop Vocal Performance, and was on the Grammy Record of the Year. The song is… Read More 
Hit it
This ain't no disco
It ain't no country club, either
This is L.A. 

""All I wanna do is have a little fun before I die""
Says the man next to me, out of nowhere
It's apropos of nothing
He says his name is William
But I'm sure he's Bill or Billy or Mac or Buddy
And he's plain ugly to me
And I wonder if he's ever had a day of fun in his whole life
We are drinking beer at noon on Tuesday
In a bar that faces a giant car wash
The good people of the world
Are washing their cars on their lunch break
Hosin' and scrubbin' as best they can in skirts and suits
They drive their shiny Datsuns and Buicks
Back to the phone company, the record store, too
Well, they're nothing like Billy and me, 'cause

All I wanna do is have some fun
I got a feelin' I'm not the only one
All I wanna do is have some fun
I got a feelin' I'm not the only one
All I wanna do is have some fun
Until the sun comes up over Santa Monica Boulevard

I like a good beer buzz early in the mornin'
And Billy likes to peel the labels from his bottles of Bud
He shreds them on the bar
Then he lights every match in an oversized pack
Lettin' each one burn, down to his thick fingers
Before blowin' and cursin' them out
And he's watching the bottles of Bud as they spin on the floor
And a happy couple enters the bar
Dangerously close to one another
The bartender looks up from his want ads, but

All I wanna do is have some fun
I got a feelin' I'm not the only one
All I wanna do is have some fun
I got a feelin' I'm not the only one
All I wanna do is have some fun
Until the sun comes up over Santa Monica Boulevard

Otherwise the bar is ours
The day and the night and the car wash, too
The matches and the Buds and the clean and dirty cars
The sun and the moon, but

All I wanna do is have some fun
I got a feelin' I'm not the only one
All I wanna do is have some fun
I got a feelin' I'm not the only one
All I wanna do is have some fun
I got a feelin' the party has just begun
All I wanna do is have some fun
I won't tell you that you're the only one
All I wanna do is have some fun
Until the sun comes up over Santa Monica Boulevard
Until the sun comes up over Santa Monica Boulevard","female vocalists, rock, pop, singer-songwriter, alternative"
34,35,"""Mmm Mmm Mmm Mmm""",Crash Test Dummies,"50 ContributorsTranslationsDeutschMmm Mmm Mmm Mmm LyricsMmm Mmm Mmm Mmm was released in October 1993 as one of the singles from God Shuffled His Feet.  Through three seemingly disconnected stories, it explores themes of childhood loneliness and isolation, stemming… Read More 
Once there was this kid who
Got into an accident and couldn't come to school
But when he finally came back
His hair had turned from black into bright white
He said that it was from when
The cars had smashed so hard

Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm

Once there was this girl who
Wouldn't go and change with the girls in the change room
But when they finally made her
They saw birth marks all over her body
She couldn't quite explain it
They'd always just been there

Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm

But both girl and boy were glad
'Cause one kid had it worse than that

'Cause then there was this boy whose
Parents made him come directly home right after school
And when they went to their church
They shook and lurched all over the church floor
He couldn't quite explain it
They'd always just gone there

Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm","rock, alternative rock, alternative, Canadian, 90s"
35,36,"""Can We Talk""",Tevin Campbell,"38 ContributorsCan We Talk LyricsMuch compared to Jodeci’s “Come and Talk to Me”, Tevin is lyrically talking to a girl he knew, wanting to find out more about her.
The song was a top 10 in the U.S. and today the song remains as one of… Read More 
Last night, I, I saw you standing
And I started, started pretending
That I knew you, and you knew me, too

And just like a Roni, you were too shy
But you weren't the only 'cause so was I
And I dreamed of you ever since
Now, I build up my confidence
Girl, next, next time you come my way
I'll know just what to say

Can we talk for a minute?
Girl, I want to know your name
Can we talk for a minute?
Girl, I want to know your name

I started to write you letters
But I wanted to be more clever
I wanted to get down and sweet talk you
Hey, baby

But just like a baby, I could not talk
And I tried to come closer, but could not walk
And I think of it every night
How I just could not get it right, oh
If we ever come close again
I'll know what I'll say then, yeah

Can we talk for a minute? (Can we talk, baby, can we talk for a minute?)
Girl, I want to know your name (I wanna know your name)
Can we talk for a minute? (Can we talk for a minute, baby?)
Girl, I want to know your name

Oh, girl
One more chance with you again
I will not let it go
Oh, please, give me just one more chance for love, love, love, love

Can we talk for a minute? (Yeah, yeah, baby)
Girl, I want to know your name (I wanna know your name)
Can we talk for a minute? (Can we talk for a minute, baby?)
Girl, I want to know your name (Yeah, I want to know, oh, baby, baby, baby)

(Can we talk?) Come on and talk to me, baby
Come on and talk to me, baby
(Girl, I want to know your name) Said, I wanna, I wanna know, I want to know your name
(Can we talk for a minute?) Now, can we talk for a minute? Come on and talk to me, baby
(Girl, I want to know your name) Come on, baby, come on, baby, yeah
(Can we talk for a minute?) I said, can we talk for a minute? Come on and talk to me, baby
See, I wanna know
You better tell me your name, baby
(Can we talk for a minute?) I said, talk to me for a minute
Come on and talk for a minute
I wanna know, I wanna know
I want to know your name
(Can we talk for a minute?) Talk to me for a minute
Come on and talk for a minute
Come on, come on, come on and talk to me, yeah
(Can we talk)","rnb, 90s, soul, male vocalists, urban"
36,37,"""Funkdafied""",Da Brat,"38 ContributorsFunkdafied Lyrics“Funkdafied” was the lead single off of Brat’s platinum selling album Funkdafied. The song was both produced and  co-written by Jermaine Dupri and contained a replay of The Isley Brothers 1983 hit “Between… Read More 
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied

Open up, open up and let the funk flow in
From this nigga named J and his new-found friend
I'm hitting switches like Eric on the solo creep
For yo' jeep, it's Da B.R.A.T. 
Putting the dip in your hip from right to left
It's the ghetto ass bitch and I'm so so def
Nigga, that's my clique; nigga, that's who I rolls with
And we kicks nothing but the fat shit
Them calls me the funkdafied, funkalistic, vocalistic
With the real shit, we got the shit you can't funk with
(Why?)
Because we so funkdafied
(Why?)
We make you move from side to side
Well, it's da G. H. da E. T. T. O., nigga
Brat and J.D. coming like that big baby
So lay back and listen as I catch up on my pimping
And freak this duet just like Ashford and Simpson
Cause I'm

So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied

Puttin' it down, puttin' it down ain't no thang to me
And ain't too many hoes that can hang with me
It's like that and as a matter of fact
When it comes to Da Brat tat-tat-tat
I got the shit to make your neck snap back
Meaning I got the shit that'll get'cha bent
Tear the roof off this mutha like Parliament
I'm on a roll, in control like Janet, dammit
Brat, you're the funk bandit and they can't handle it
I know, that's why I keep hitting 'em with this grammar
Letting niggas know that I'm the real mama jama
Straight to the head like a chronic sack

I pass the mic to the Brat
And yo I passed it back
Well-a, sistas and fellas
It's time to get your groove on
I provide the funkdafied sounds that make yo move, homes
Breaking these fools off proper like
It's S.O. S.O. D.E.F. dynamite
Humunah, humunah, comin' up at 'cha like Ralph K
And since this ain't no honeymoon, I'm here to stay
And the way we comin' at 'cha
Baby we can't miss
There's a new tag team in town
Nigga, whoomp, there it is

So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied
So, so, so funkdafied","rap, Hip-Hop, female vocalists, hip hop, 90s"
37,38,"""I'd Do Anything for Love (But I Won't Do That)""",Meat Loaf,"67 ContributorsI’d Do Anything for Love (But I Won’t Do That) LyricsWritten by Jim Steinman for Meatloaf, “I’d Do Anything for Love (But I Won’t Do That)” was Meatloaf’s comeback song and the lead single for Bat Out Of Hell II: Back into Hell. A power ballad to the max, “I’d… Read More 

And I would do anything for love
I'd run right into hell and back
I would do anything for love
I'll never lie to you and that's a fact
But I'll never forget the way you feel right now
Oh no, no way
And I would do anything for love
But I won't do that
No, I won't do that
Anything for love
Oh, I would do anything for love
I would do anything for love
But I won't do that
No, I won't do that

And some days it don't come easy
And some days it don't come hard
Some days it don't come at all
And these are the days that never end
And some nights you're breathin' fire
And some nights you're carved in ice
Some nights you're like nothin' I've ever
Seen before or will again

And maybe I'm crazy
Oh, it's crazy and it's true
I know you can save me
No one else can save me now but you
As long as the planets are turnin'
As long as the stars are burnin'
As long as your dreams are comin' true
You better believe it

That I would do anything for love
And I'll be there till the final act
And I would do anything for love
And I'll take the vow and seal a pact
But I'll never forgive myself if we don't go all the way
Tonight
And I would do anything for love
Oh, I would do anything for love
Oh, I would do anything for love
But I won't do that
No, I won't do that

I would do anything for love
Anything you've been dreamin' of
But I just won't do that
I would do anything for love
Anything you've been dreamin' of
But I just won't do that
I would do anything for love
Anything you've been dreamin' of
But I just won't do that


And some days I pray for silence
And some days I pray for soul
Some days I just pray to the God
Of Sex and Drums and Rock 'N' Roll
And some nights I lose the feelin'
And some nights I lose control
Some nights I just lose it all
When I watch you dance and the thunder rolls

And maybe I'm lonely
That's all I'm qualified to be
There's just one and only
One and only promise I can keep
As long as the wheels are turnin'
As long as the fires are burnin'
As long as your prayers are comin' true
You better believe it

That I would do anything for love
And you know it's true and that's a fact
I would do anything for love
And there'll never be no turning back
But I'll never do it better than I do it with you
So long, so long
And I would do anything for love
Oh, I would do anything for love
I would do anything for love
But I won't do that
No, no, no, I won't do that

I would do anything for love
Anything you've been dreamin' of
But I just won't do that
I would do anything for love
Anything you've been dreamin' of
But I just won't do that
I would do anything for love
Anything you've been dreamin' of
But I just won't do that
I would do anything for love
Anything you've been dreamin' of
But I just won't do that
I would do anything for love
Anything you've been dreamin' of
But I just won't do that
I would do anything for love
Anything you've been dreamin' of
But I just won't do that
I would do anything for love
Anything you've been dreamin' of
But I just won't do that

But I'll never stop dreamin' of you every night of my life
No way
And I would do anything for love
Oh, I would do anything for love
Oh, I would do anything for love
But I won't do that
No, I won't do that

Will you raise me up? Will you help me down?
Will you help get me right out of this Godforsaken town?
Will you make it all a little less cold?
I can do that
Oh, I can do that
Will you hold me sacred? Will you hold me tight?
Can you colorize my life? I'm so sick of black and white
Can you make it all a little less old?
I can do that
Oh, oh, now, I can do that
Will you make me some magic with your own two hands?
Can you build an emerald city with these grains of sand?
Can you give me somethin' I can take home?
Now, I can do that
Oh, oh, now, I can do that
Will you cater to every fantasy I got?
Will you hose me down with holy water if I get too hot?
Will you take me places I've never known?
Now, I can do that
Oh, oh, now, I can do that
After a while you'll forget everything
It was a brief interlude and a midsummer night's fling
And you'll see that it's time to move on
I won't do that
I won't do that
I know the territory I've been around
It'll all turn to dust and we'll all fall down
Sooner or later you'll be screwin' around
I won't do that
No, I won't do that

Anything for love
Oh, I would do anything for love
I would do anything for love
But I won't do that
No, I won't do that","rock, classic rock, hard rock, rock opera, 80s"
38,39,"""Gangsta Lean""",DRS,"43 ContributorsGun Lean (Remix) LyricsRuss returns with a remix of his huge hit song, “Gun Lean”. The original song has already garnered over 4 million views on YouTube, only a month after its release.
For the remix, Russ recruits 5 UK based… Read More 
Gotcha

G-Gun lean, man, gun lean (Gun lean, g-gun lean)
Gun lean on the beat as well
For everyone, boys and girls
Flick your shoulder, use them well
Left, right, left, right (Flick it, flick it, flick it, flick it)
Left, right, left, right

Gun Lean remix (Remix)
Tek your time, don't cat Felix (Tek time)
Squeeze the mash like I squeeze tits (Bow)
Digga D, bro Pyrex whip (Whip)
Not your average rental links (Nah)
Lamborghinis, golden whips
Russ with the rush, gun lean with Chip (Gun lean)
Left, right, near your girlfriend's whip
Like, haffi mek Lady Gaga
Likkle man, I'm your father
In the flesh, ain't on nada
Free my bro, please get smarter (Free man)
Badman, don't mad man, it's long
Jet Li ting, man ching then chong (Ching, ching)
Who's that peng browning? She's tun (Who's that?)
Come baby, come and ride this john

Jump out, grab him
Sav too mad, don't mad him
He bus' a left, then a right, then a right and the feds on the left
Man, I thought I just had him
Active, don't mad me, get tannin'
Active, don't mad me, get shot
Live O like Magnums and Glocks
Still do it like Whoosh did
Ride for your homies in the box
Bishead lay off that chalice
Run down, then baked in Palace
And I don't care what anyone says, babes
If you hold this stick, you're the baddest
How many times have I done it on my ones?
Two or three man see me step with guns
4-doors proper, see legs and bums
Spin holds five so you seen man done

Gun lean, man, gun lean (Gun lean, g-gun lean)
Gun lean on the beat as well (Ayy)
For everyone, boys and girls
Flick your shoulder, use them well
Left, right, left, right (Flick it, flick it, flick it, flick it)
Left, right, left, right

Call me godfather or dad (L)
Gun Lean on every opp block, that's facts (Facts)
Still pull up with K or K, Mental or Trap, that's cash or waps
It's far from a joke when you see me in a big jacket, I'm nuttin' like Shaq (No)
Black on black
Me plus bro, that's wass on wass (All of that, all of that, all of that)
Hit chest then back
Man lean with it (Lean)
.44 hit his chest clean with it (Clean)
I was in the trap, not carni
Just like Taze, no deals, straight creamin' it
Spot that, grab that, take that, what?
How you stunt on gang with a brand new watch? (Man tek that)
When it comes to south London, LD's got the top three spots (L)

Digga D, I'm a well-known bandit
Bandit heard a new mash, just landed
Jheez, cop it, chop it, sand it, hand it
The verbal ting, I can't stand it
Why you think two got tanned when I banged it? Madting
Got a conspiracy case in the silliest place
They're saying that I planned it, damn it
Back on the Feltham landing
You ain't been in the hood like Robin
I ride in hoods tryna leave man red (Cruddy)
The sweets are goldie
Yola drops and locks, no dread (Maud)
No porkies, pepper them pigs if they chase this ped
Gyal tryna give man noddy
She ain't got balls on her tongue, that's dead

Gun lean, man, gun lean (Gun lean, g-gun lean)
Gun lean on the beat as well
For everyone, boys and girls
Flick your shoulder, use them well
Left, right, left, right (Flick it, flick it, flick)
Left, right, left, right

Talking loads, they ain't badder than me (Nah)
They can never be Ms B (Yeah)
Iced out chick in a Addison Lee (Ooh)
Your salary couldn't cover my fee
From '09, man, I've been on my grind (Yeah)
Now all my young G's gotta shine (Woo)
Gotta see dad when I'm checking my time (Ping)
That's how you get a gun lean like mine
Lucy-Lucy, I sweeter than juicy-juicy
All the boys wan' do me, do me (Uh)
All my girls unruley, ruley (Uh)
How you talking all that crap and ain't gettin' no pay?
Run a girl down like my name was Reneé
You don't want it with I, I'm bad on my J's
Say my name, I'm on my way (Yo)

Gun lean in a Rolls Royce, yeah, man a driver
Passenger seat, that's my number one striker
You could be 18 yards
Two-two guards
Pap-pow, there'll be no survivor
Straight to the clearport, hop on the jet
Go link 50, hop on the set
I keep it humble in these streets
Take kindness for weakness, you will regret
New year, new you, that's just wass
Hype off views, that's just gas
How you got less numbers in your bank than your social media? That's just brass
Every time I talk, my G, that's cash
Plain Jane APs, yeah, that's flash
You not tryna flex 18 years from when you first started? That's just trash

Gun lean, man, gun lean (Gun lean, g-gun lean)
Gun lean on the beat as well
For everyone, boys and girls
Flick your shoulder, use them well
Left, right, left, right (Flick it, flick it, flick)
Left, right, left, right","Drum and bass, Hip-Hop, rnb, rap, All"
39,40,"""Because the Night""","10,000 Maniacs",1 ContributorBecause the Night  LyricsThere was an error retrieving these lyrics,"female vocalists, alternative, rock, pop, 80s"
40,41,"""Cantaloop (Flip Fantasia)""",Us3,"31 ContributorsCantaloop (Flip Fantasia) LyricsUs3’s extensive use of samples from the Blue Note Records catalog got the attention of Blue Note who surprised them with an offer for a record deal. (Richard Cook, Blue Note Records: The Biography, p226)
… Read More 
Ladies and gentlemen, as you know we have something special down here at Birdland this evening
A recording for Blue Note Records

(Yeah...yeah...yeah...What's that?)
Yeah...yeah...yeah
Funky, funky
How 'bout a big hand now
Wait--wait a minute

Groovy groovy jazzy funky pounce bounce dance as we
Dip in the melodic sea, the rhythm keeps flowin', and drips to MC
Sweet sugar pop sugar pop rocks it pop
Ya dont stop 'til the sweet beat drops
I show and prove as I stick and move
Vivid poems recited on top of the groove
Smooth, my, floating like a butterfly
Notes set afloat, sung like a lullaby
Brace yourself as the beat hits ya
Dip trip, flip fantasia

(Yeah...yeah...yeah...What's that?)
Itty bitty bop (Yeah)
Itty bitty bop (Funky, funky)

Feel the beat drop, jazz and hip hop
Drippin' in your dome, makes you zone and bop
Funk and fusion, a fly illusion
Keeps ya coastin' on the rhythm you're cruisin'
Up down, round and round, rhymes profound
But nevertheless ya gots to get down
Fantasy freak thru the beat so unique
Ya move your feet, the sweat from the heat
Back to the fact I'm the mack and I know that
The way I kick the rhymes, some would call me a poet
Poems steady flowin', growin', showin' sights and sound
Caught in the groove in Fantasia I'm found
Many trip the tour upon the rhymes they soar
To an infinite height to the realm of the hardcore
Here we go off I take ya
Dip trip, flip fantasia

(Yeah...yeah...yeah...What's that?)
Itty bitty bop (Yeah)
Itty bitty bop (Funky, funky)
(Yeah...yeah...yeah...What's that?)
(Yeah...yeah...yeah...Funky, funky)

Jump to the jam, boogie woogie jam slam
Bust the dialect, I'm the man in command
Come flow with the sounds of the mighty mic master
Rhyming on the mic, I'm bringing suckas their disaster
Beaucoup ducs but I still rock Nike
With the razzle dazzle, star I might be
Scribble drabble scrabble on the microphone I babble
As I flip the funky words, into a puzzle
Yes yes yes, on and on as I flex
Get with the flow, words manifest
Feel the vibe from here to Asia
Dip trip, flip fantasia
Out

Ya don't stop
C'mon, c'mon, c'mon, c'mon
C'mon, c'mon, c'mon
Gimme more
Of that funky horn","acid jazz, jazz, funk, Hip-Hop, electronic"
41,42,"""Whoomp! (There It Is)""",Tag Team,"33 ContributorsWhoomp! (There It Is) LyricsEarly 90’s smash hit single written and produced by the Atlanta duo of Cecil “DC the Brain Supreme” Glenn and Steve “Rolln” Gibson. The song samples the bassline from the 1980 song “I’m Ready” by the Italo… Read More 
Party people!
Yeah, Tag Team music in full effect!
That's me, DC the Brain Supreme
And my man Steve Roll'n!
We're kickin' the flow! (We're kickin' the flow!)
And it goes a little something like this

Tag Team, back again
Check it to wreck it, let's begin
Party on, party people, let me hear some noise
DC's in the house, jump, jump, rejoice
Says there's a party over here, a party over there
Wave your hands in the air, shake the derriere
These three words mean you're gettin' busy
Whoomp, there it is! Hit me!

Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!

Upside down and inside out
I'm 'bout to show all you folks what it's all about
Now it's time for a nigga to get on the mic
And make this motherfuckin' party hype
I'm takin' it back to the old school
'Cause I'm an old fool who's so cool
If you wanna get down, I'mma show you the way
Whoomp, there it is!
Let me hear you say

Whoomp, there it is! (Come on, y'all)
Whoomp, there it is! (A little louder)
Whoomp, there it is! (Come on, y'all)
Whoomp, there it is! (Louder)
Whoomp, there it is! (Come on, y'all)
Whoomp, there it is! (A little louder)
Whoomp, there it is! (Come on, y'all)
Whoomp, there it is!
Whoomp! Shaka-laka-shaka-laka shaka-laka shaka
Whoomp! Shaka-laka-shaka-laka shaka-laka shaka
Whoomp! Shaka-laka-shaka-laka shaka-laka shaka
Whoomp! Shaka-laka-shaka-laka shaka-laka shaka

Point blank, gin and juice I drink
And then invent as I puff on dank
Rock the mic, uh oh, I crave skin
Rip shit, find a honey dip to dip it in
Slam dunk it, stick it, flip it and ride
That B-double-O-T-Y, oh my
Ooh, that's it, come on, come on
Whoomp, there it is! I'm done

Whoomp, there it is! (Come on)
Whoomp, there it is! (Louder)
Whoomp, there it is! (Give it to me)
Whoomp, there it is! (Come on, come on)
Whoomp, there it is! (Little louder)
Whoomp, there it is! (Yeah!)
Whoomp, there it is! (Come on, come on)
Whoomp, there it is! (Yeah!)
Hey, ladies! Whoomp, there it is!
Hey, fellas! Whoomp, there it is!

Some say I'm crazy 'cause I'm pushing up daisies
The underground sound that you niggas have found
Amazing, outstanding, demanding
Commanding, you people dancing (Whoo)
Shit! That's a breathtaker
Our producer AKA the undertaker
You wanna come down to the underground old school?
Here's a shovel, can you dig it, fool?
Can you dig it? We can dig it!
Can y'all dig it? We can dig it!
Can you dig it? We can dig it!
Can y'all dig it? We can dig it!
Can you dig it? We can dig it!
Can y'all dig it? We can dig it!
Can you dig it? We can dig it!
Can y'all dig it? We can dig it!

W-H-double O-M-P as I flow
To the fly shit from the school of old
Hard core, keep' the folklore wrecked
3 to the 2 and 1, mic check
Mad skill, flow ill, on the mess of steel
That's the grille of the microphone I just killed
Party people, there's your party, Tag Team is through
Whoomp, there it is, I thought you knew

Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!

Yeah! Tag Team music comin' straight at 'cha!
That's me - DC the Brain Supreme, and my man Steve Roll'n!
Bring it back y'all, bring it back y'all, bring it back, here we go!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!

Hahaha
Have you heard that new song by Tag Team?
What's that?
You go girl, he is singing that to me
You don't even know him
Haha, that song is for all the ladies
Well, the whole album is dope
For real? Damn
Really though","Hip-Hop, miami bass, 90s, rap, hip hop"
42,43,"""Come to My Window""",Melissa Etheridge,"14 ContributorsCome to My Window Lyrics“Come to My Window” is the second single from Etheridge’s 1993 album Yes I Am. She wrote it about a tumultuous relationship she was in at the time.
The song was a success in the US, reaching #25 in the… Read More 
Come to my window
Crawl inside
Wait by the light of the moon
Come to my window
I'll be home soon

I would dial the numbers
Just to listen to your breath
And I would stand inside my hell
And hold the hand of death
You don't know how far I'd go
To ease this precious ache
And you don't know how much I'd give
Or how much I can take

Just to reach you
Just to reach you
Oh, to reach you
Oh

Come to my window
Crawl inside
Wait by the light of the moon
Come to my window
I'll be home soon

Keeping my eyes open
I cannot afford to sleep
Giving away promises
I know that I can't keep
Nothing fills the blackness
That has seeped into my chest
I need you in my blood
I am forsaking all the rest

Just to reach you
Just to reach you
Oh, to reach you
Oh

Come to my window
Crawl inside
Wait by the light of the moon
Come to my window
I'll be home soon

I don't care what they think
I don't care what they say
What do they know about this love
Anyway?
Come, come to my window
I'll be home, I'll be home, I'll be home, I
I'm coming home

Come to my window
Oh, crawl inside
Wait by the light of the moon
Come to my window
I'll be home soon
I'll be home, I'll be home
I'm coming home
Come to my window
Oh, crawl inside
Wait by the light of the moon
Come to my window
I'll be home soon
I'll be home, I'll be home, I'll be home","rock, female vocalists, singer-songwriter, folk, female vocalist"
43,44,"""Stroke You Up""",Changing Faces,"8 ContributorsStroke You Up Lyrics
Yeah, so what you wanna see me for, baby?
I wanna show you something
Oh yeah, and what's that?
Turn the lights down halfway
Huh, ayo that's cool

Do you mind if I stroke you up? (I don't mind)
Do you mind if I stroke you down? (I don't mind)
All through the night (I don't mind)
Holding your body tight (I don't mind)
Do you mind if I stroke you up? (I don't mind)
Do you mind if I stroke you down? (I don't mind)
All through the night (I don't mind)
Making you feel so right (I don't mind)

Come on in and close the door
I've got what you're looking for
Dim the lights, unplug the phone
And turn the radio on
I've got what you need
Just put your trust in me
And I won't let you down
So give me your love right now

(Give it up) That's what I wanna do
(Keep it comin') Don't stop
I've got a question for you

Do you mind if I stroke you up? (I don't mind)
Do you mind if I stroke you down? (I don't mind)
All through the night (I don't mind)
Holding your body tight (I don't mind)
Do you mind if I stroke you up? (I don't mind)
Do you mind if I stroke you down? (I don't mind)
All through the night (I don't mind)
Making you feel so right (I don't mind)

I know the things to do
To make you feel alright
Giving you all of me
And keeping you satisfied
Boy, there's no mystery
You know how I feel right now
I wanna lift you up
And make your love come down

(Give it up) That's what I wanna do
(Keep it comin') Don't stop
I got a question for you

Do you mind if I stroke you up? (I don't mind)
Do you mind if I stroke you down? (I don't mind)
All through the night (I don't mind)
Holding your body tight (I don't mind)
Do you mind if I stroke you up? (I don't mind)
Do you mind if I stroke you down? (I don't mind)
All through the night (I don't mind)
Making you feel so right (I don't mind)

(Give it up) That's what I wanna do
(Keep it comin') Don't stop
I got a question for you
Do you mind if I? (Ah yeah, baby)
Does it feel good? (Yeah)
Come on (Ooh)
Up and down (Stroke me, baby)
Up and down, up and down (Ooh, come on, baby)","rnb, female vocalists, 90s, Girl Groups, soul"
44,45,"""I'm Ready""",Tevin Campbell,"10 ContributorsI’m Ready Lyrics“I’m Ready” peaked at #9 on the Billboard Hot 100 and #13 on Billboard’s Top 40 Mainstream chart, becoming one of Tevin’s highest chart appearances on the Hot 100 to date.
Yeah, baby, oh, oh, come on

Baby, it was uncool to love me
Then leave me standing here now without a goodbye
And maybe I am the fool you call me
'Cause I'll be here standing, waiting, to hear you say to me

I'm ready (You know I'm ready) to love you (To love) forever (Forever)
Hey love now, come and love me forevermore
I'm ready (You know I'm ready) to love you (To love) forever (Forever)
Hey love now, come and love me forevermore, whoa, whoa

Sometimes when I'm alone I feel sad
I know you'll leave me once again, and take my pride
And maybe I am the fool you call me, yeah
'Cause I'll be here standing, waiting, to hear you say to me, yeah

I'm ready (You know I'm ready) to love you (To love) forever (Forever)
Hey love now, come and love me forevermore
See, I'm ready (You know I'm ready) to love you (To love) forever, baby (Forever)
Hey love now, come and love me forevermore, whoa, whoa

And once again, I'll be right here
Waiting to share your love
But I hope this time for once
We'll forever mean it, oh, oh

See, I'm ready (You know I'm ready) to love you (To love) forever (Forever)
Hey love now, yeah, come and love me forevermore
I'm ready (You know I'm ready) to love you (To love) forever, baby (Forever)
Hey love now, come and love me forevermore, whoa, whoa

I, I'm ready, yes, I am
I'm ready (You know I'm ready) to love you (To love) forever (Forever), and ever, baby
Hey love, come and love me forevermore
Come and love me, love me
I'll make you love me, 'cause I'm ready
I'm ready (You know I'm ready) to love you (To love you) forever (Forever)
(Oh, ho, ho, ho, forever, yeah)
Hey love, come and love me forevermore (Forevermore), whoa, whoa
I'm ready (I'm ready), yeah, to love you forever (Forever)
Hey love, come and love me forevermore
I'm ready to love you forever (Forever)
Hey love...","rnb, 90s, soul, male vocalists, urban"
